analysis_status,image_category,masked_roi,max,mean,median,metric,min,num_images,positive_fraction,q25,q75,std
descriptive_only,Body,Body,0.025723862648010253,-0.010204393863677979,-0.006247079372406006,clip,-0.042995548248291014,10,0.3,-0.03202861994504929,0.009250432252883911,0.02430515633383384
descriptive_only,Body,Body,0.011378642916679383,-0.004779021237045528,-0.0016736000776290897,dino,-0.04116398096084595,10,0.4,-0.00948055051267147,0.0036487696226686233,0.015119925369205686
descriptive_only,Body,Body,0.021844196319580077,0.004356546401977539,0.0030274271965026857,lpips,-0.0024258017539978026,10,0.9,0.001195231080055237,0.003941243886947632,0.006660996083665187
descriptive_only,Body,Body,0.04124192148447037,-0.008371605724096296,-0.018474015593528747,person_dino,-0.04815567433834076,10,0.3,-0.0200762614607811,0.007833170890808105,0.02501017854333982
descriptive_only,Body,Body,0.010747420787811279,0.0008948183059692381,3.332495689392092e-05,person_lpips,-0.006457829475402832,10,0.5,-0.002812427282333374,0.0026285514235496518,0.005783719267693857
descriptive_only,Body,Body,0.024633115372363363,-0.0013745043770580106,-0.0003968109023716346,person_region_consistency,-0.03174554042710017,10,0.4,-0.00942661418310144,0.007304687131753965,0.015162879824116092
descriptive_only,Body,Body,0.03201868123505098,0.003889896345109873,0.0012646619973815604,pixel_corr,-0.021969681713183163,10,0.5,-0.00416065113135679,0.016155846514182504,0.017361674957281654
descriptive_only,Body,Body,0.0035807843851780484,-0.005236409494534939,-0.0021554788959202652,ssim,-0.02360136639294765,10,0.3,-0.005687430791251688,0.00033125788077795345,0.008790419495130692
descriptive_only,Body,Face,0.024486368894577025,0.0035390543937683103,0.004561036825180054,clip,-0.02547813653945923,10,0.7,-0.0026532217860221856,0.011167448759078978,0.014554237576494392
descriptive_only,Body,Face,0.05142923891544342,-0.013031693156808615,-0.004932446777820587,dino,-0.1537290871143341,10,0.4,-0.011975352140143513,0.00664590746164322,0.05361602287455666
descriptive_only,Body,Face,0.0020163655281066895,-0.0015728414058685304,-0.0014523684978485108,lpips,-0.006443452835083008,10,0.2,-0.0026051610708236693,-0.0003839373588562011,0.0023913845832933866
descriptive_only,Body,Face,0.049458423256874086,0.00570371612906456,0.004222238063812256,person_dino,-0.03034386932849884,10,0.6,-0.00749206393957138,0.01639462821185589,0.021938650966868787
descriptive_only,Body,Face,0.003971904516220093,-7.226437330245966e-05,0.00024583339691162107,person_lpips,-0.004438483715057373,10,0.5,-0.0018345974385738373,0.0013233706355094909,0.002472038624789034
descriptive_only,Body,Face,0.01944071754847529,0.0051783320033747145,0.00450728551968573,person_region_consistency,-0.012139812594874127,10,0.8,0.000849524434141116,0.013768967788541144,0.010110632190018733
descriptive_only,Body,Face,0.025601278633704178,0.005253290026666109,0.0035099149483580477,pixel_corr,-0.006987745929176538,10,0.8,0.0012827189085168303,0.007585858611737013,0.008668600720563559
descriptive_only,Body,Face,0.003333491385706844,-0.0006731216508069387,-0.0005339406403491731,ssim,-0.004098708874104439,10,0.4,-0.0018611802648050124,0.0003757532240720865,0.002163479001379643
descriptive_only,Body,Scene,0.0664690613746643,0.030330661535263058,0.04397316575050354,clip,-0.012955594062805175,10,0.6,-0.0025744885206222534,0.05527654588222503,0.032232835418026365
descriptive_only,Body,Scene,0.07588359564542771,0.034264456196688116,0.02515740904491395,dino,0.005494241788983344,10,1.0,0.015847901254892348,0.05736967548727989,0.02658049935533377
descriptive_only,Body,Scene,0.03224581480026245,0.003227800130844116,-0.0004642367362976075,lpips,-0.013782668113708495,10,0.4,-0.0035291045904159543,0.009069988131523134,0.01305537519424106
descriptive_only,Body,Scene,0.16240974962711335,0.032613002359867097,0.017820601165294648,person_dino,-0.029131275415420533,10,0.7,0.0005981832742691046,0.04285695403814316,0.05433534466787358
descriptive_only,Body,Scene,0.016422957181930542,0.0030182859301567076,0.0016344234347343443,person_lpips,-0.004030346870422363,10,0.7,-0.00035001933574676516,0.003764528036117554,0.006444596018677093
