background_clip,background_dino,clip,condition,control_type,dataset_idx,dino,experiment,face_detection_success,face_detector_backend,face_dino,face_lpips,image_category,local_region_pixels,lpips,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,pixel_corr,scene_class_consistency,seed,ssim
,,0.43756014108657837,mask_Body_mean,target_roi,158,0.2237500697374344,E3_interaction,1.0,opencv_haar_e1,0.332236647605896,0.7051955461502075,Face,33856,0.7742211818695068,Body,,,,,-0.13609716945187134,,12345,0.22968544377881098
,,0.4600294232368469,mask_Body_mean,target_roi,287,0.12281199544668198,E3_interaction,0.0,opencv_haar_e1,0.12876009941101074,0.7936076521873474,Face,32761,0.7408467531204224,Body,,,,,0.07740756215613484,,12345,0.37040924166328476
,,0.5567198991775513,mask_Body_mean,target_roi,415,0.220255047082901,E3_interaction,0.0,opencv_haar_e1,0.2170039862394333,0.701336681842804,Face,30625,0.6526700854301453,Body,,,,,-0.10882613637879038,,12345,0.5403343003166985
,,0.4375746548175812,mask_Body_mean,target_roi,465,0.23232202231884003,E3_interaction,1.0,opencv_haar_e1,0.29722604155540466,0.797946572303772,Face,24649,0.6899482607841492,Body,,,,,-0.11803045436392341,,12345,0.23756880101724576
,,0.6233762502670288,mask_Body_mean,target_roi,529,0.2221323847770691,E3_interaction,1.0,opencv_haar_e1,0.32511720061302185,0.65460205078125,Face,17161,0.674464762210846,Body,,,,,0.038146336983770894,,12345,0.4265241508790689
,,0.5976988077163696,mask_Body_mean,target_roi,678,0.16545885801315308,E3_interaction,1.0,opencv_haar_e1,0.4319010376930237,0.5571392178535461,Face,17956,0.6989884376525879,Body,,,,,-0.036432599934273564,,12345,0.26798431006550905
,,0.6606888175010681,mask_Body_mean,target_roi,756,0.44173163175582886,E3_interaction,0.0,opencv_haar_e1,0.4354632496833801,0.8142030239105225,Face,42025,0.7176587581634521,Body,,,,,-0.10293058181969876,,12345,0.42506985114913703
,,0.7183225154876709,mask_Body_mean,target_roi,781,0.22462067008018494,E3_interaction,0.0,opencv_haar_e1,0.028447981923818588,0.7189180254936218,Face,16641,0.654690682888031,Body,,,,,0.00751587988313405,,12345,0.4055199298983374
,,0.5041364431381226,mask_Body_mean,target_roi,789,0.0792243480682373,E3_interaction,0.0,opencv_haar_e1,0.2777720093727112,0.6712976694107056,Face,17424,0.6829364895820618,Body,,,,,0.13632781911555925,,12345,0.22702495260489455
,,0.5597646832466125,mask_Body_mean,target_roi,973,0.28976184129714966,E3_interaction,0.0,opencv_haar_e1,0.2534201443195343,0.8380942344665527,Face,52900,0.7442302107810974,Body,,,,,-0.0827909632979048,,12345,0.3610602314351524
,,0.4190632104873657,mask_Body_pure_random_01_mean,pure_matched_random,158,0.1317111849784851,E3_interaction,1.0,opencv_haar_e1,0.10014697164297104,0.7226752042770386,Face,33856,0.7735885977745056,Body,,,,,-0.1728660078418057,,12345,0.22064169322651575
,,0.4896499812602997,mask_Body_pure_random_01_mean,pure_matched_random,287,0.14160341024398804,E3_interaction,1.0,opencv_haar_e1,0.12262250483036041,0.8291040658950806,Face,32761,0.7245835065841675,Body,,,,,0.049260928636105934,,12345,0.35786123963781286
,,0.5431145429611206,mask_Body_pure_random_01_mean,pure_matched_random,415,0.24568593502044678,E3_interaction,0.0,opencv_haar_e1,0.22163410484790802,0.7018023133277893,Face,30625,0.6505292057991028,Body,,,,,-0.0965332902921437,,12345,0.5366086605766458
,,0.4247707426548004,mask_Body_pure_random_01_mean,pure_matched_random,465,0.20727911591529846,E3_interaction,1.0,opencv_haar_e1,0.2671906352043152,0.7994606494903564,Face,24649,0.6968117952346802,Body,,,,,-0.13010007751693864,,12345,0.23615649896651042
,,0.6207390427589417,mask_Body_pure_random_01_mean,pure_matched_random,529,0.23383602499961853,E3_interaction,1.0,opencv_haar_e1,0.2812475860118866,0.656680166721344,Face,17161,0.6779826879501343,Body,,,,,0.03527620181080786,,12345,0.4258225698423981
,,0.5729252099990845,mask_Body_pure_random_01_mean,pure_matched_random,678,0.07539531588554382,E3_interaction,1.0,opencv_haar_e1,0.43574386835098267,0.5609513521194458,Face,17956,0.6982157230377197,Body,,,,,-0.049083055724330846,,12345,0.2589501698066606
,,0.6481736898422241,mask_Body_pure_random_01_mean,pure_matched_random,756,0.37039411067962646,E3_interaction,0.0,opencv_haar_e1,0.3653169274330139,0.8000480532646179,Face,42025,0.7274219393730164,Body,,,,,-0.11218288364129046,,12345,0.4399011420681196
,,0.7047691345214844,mask_Body_pure_random_01_mean,pure_matched_random,781,0.26750674843788147,E3_interaction,0.0,opencv_haar_e1,0.05796711519360542,0.7343409061431885,Face,16641,0.6596124172210693,Body,,,,,0.015666349768518408,,12345,0.41556635398115765
,,0.49560800194740295,mask_Body_pure_random_01_mean,pure_matched_random,789,0.0926741361618042,E3_interaction,0.0,opencv_haar_e1,0.2858757972717285,0.6759516000747681,Face,17424,0.6769676208496094,Body,,,,,0.14192515274088824,,12345,0.22960480128423316
,,0.5446237921714783,mask_Body_pure_random_01_mean,pure_matched_random,973,0.26412349939346313,E3_interaction,0.0,opencv_haar_e1,0.20840859413146973,0.8343631625175476,Face,52900,0.7443963885307312,Body,,,,,-0.07135804404278419,,12345,0.36603041560428173
,,0.3965013325214386,mask_Body_pure_random_02_mean,pure_matched_random,158,0.09482429176568985,E3_interaction,1.0,opencv_haar_e1,0.114742711186409,0.7261379361152649,Face,33856,0.7838853001594543,Body,,,,,-0.07176669110360347,,12345,0.24355305310398406
,,0.47984790802001953,mask_Body_pure_random_02_mean,pure_matched_random,287,0.13964872062206268,E3_interaction,0.0,opencv_haar_e1,0.1258818507194519,0.836184024810791,Face,32761,0.7250617146492004,Body,,,,,0.048556763808555045,,12345,0.3588114614627415
,,0.5323407649993896,mask_Body_pure_random_02_mean,pure_matched_random,415,0.24756094813346863,E3_interaction,0.0,opencv_haar_e1,0.2385181039571762,0.7008227705955505,Face,30625,0.6510745882987976,Body,,,,,-0.09376093106978249,,12345,0.5365838126288586
,,0.443541944026947,mask_Body_pure_random_02_mean,pure_matched_random,465,0.23260967433452606,E3_interaction,1.0,opencv_haar_e1,0.30546391010284424,0.7980268001556396,Face,24649,0.6977697014808655,Body,,,,,-0.12630451252941158,,12345,0.2382321842200703
,,0.6171847581863403,mask_Body_pure_random_02_mean,pure_matched_random,529,0.23176796734333038,E3_interaction,1.0,opencv_haar_e1,0.28892311453819275,0.6569533944129944,Face,17161,0.6745042204856873,Body,,,,,0.031391694892629614,,12345,0.4264407680489194
,,0.5981873869895935,mask_Body_pure_random_02_mean,pure_matched_random,678,0.13839367032051086,E3_interaction,1.0,opencv_haar_e1,0.4404591917991638,0.5573398470878601,Face,17956,0.6975793838500977,Body,,,,,-0.03888048833131495,,12345,0.25939269939971
,,0.6132718324661255,mask_Body_pure_random_02_mean,pure_matched_random,756,0.3738459050655365,E3_interaction,0.0,opencv_haar_e1,0.35424861311912537,0.7979605197906494,Face,42025,0.7204974889755249,Body,,,,,-0.10864820319597608,,12345,0.42678371242258994
,,0.7500518560409546,mask_Body_pure_random_02_mean,pure_matched_random,781,0.3075340986251831,E3_interaction,1.0,opencv_haar_e1,0.02783440425992012,0.6999044418334961,Face,16641,0.6390671133995056,Body,,,,,-0.0017809990316295272,,12345,0.38100138655974675
,,0.48683756589889526,mask_Body_pure_random_02_mean,pure_matched_random,789,0.08580602705478668,E3_interaction,0.0,opencv_haar_e1,0.28949376940727234,0.6737688779830933,Face,17424,0.6754096746444702,Body,,,,,0.1426653124953801,,12345,0.2280691402640669
,,0.5426994562149048,mask_Body_pure_random_02_mean,pure_matched_random,973,0.25818300247192383,E3_interaction,0.0,opencv_haar_e1,0.20668324828147888,0.8304508328437805,Face,52900,0.7424483299255371,Body,,,,,-0.07054345287692866,,12345,0.36637557873995613
,,0.4456620514392853,mask_Body_pure_random_03_mean,pure_matched_random,158,0.20360323786735535,E3_interaction,1.0,opencv_haar_e1,0.21408556401729584,0.7253028154373169,Face,33856,0.7822815179824829,Body,,,,,-0.11695775283409804,,12345,0.2407134412114227
,,0.52394038438797,mask_Body_pure_random_03_mean,pure_matched_random,287,0.19213639199733734,E3_interaction,0.0,opencv_haar_e1,0.15432395040988922,0.8271801471710205,Face,32761,0.7220867276191711,Body,,,,,0.059722433136335795,,12345,0.3431786112341172
,,0.5483002662658691,mask_Body_pure_random_03_mean,pure_matched_random,415,0.23788142204284668,E3_interaction,0.0,opencv_haar_e1,0.26329416036605835,0.7027826309204102,Face,30625,0.6395179033279419,Body,,,,,-0.11158947318061467,,12345,0.5379001239573209
,,0.42503586411476135,mask_Body_pure_random_03_mean,pure_matched_random,465,0.23411107063293457,E3_interaction,1.0,opencv_haar_e1,0.24400341510772705,0.8009538650512695,Face,24649,0.6935252547264099,Body,,,,,-0.12438818629737669,,12345,0.23682307960393947
,,0.6009934544563293,mask_Body_pure_random_03_mean,pure_matched_random,529,0.202659010887146,E3_interaction,0.0,opencv_haar_e1,0.2885323762893677,0.6603707075119019,Face,17161,0.6792555451393127,Body,,,,,0.0292720420330524,,12345,0.4276528244988301
,,0.6343467831611633,mask_Body_pure_random_03_mean,pure_matched_random,678,0.13372883200645447,E3_interaction,1.0,opencv_haar_e1,0.4569959342479706,0.5687441229820251,Face,17956,0.7002918124198914,Body,,,,,-0.053602632383902206,,12345,0.25637068728086776
,,0.7186959981918335,mask_Body_pure_random_03_mean,pure_matched_random,756,0.4184921383857727,E3_interaction,0.0,opencv_haar_e1,0.4475727379322052,0.7981371283531189,Face,42025,0.7474857568740845,Body,,,,,-0.10452014242961077,,12345,0.45148236809656633
,,0.7070275545120239,mask_Body_pure_random_03_mean,pure_matched_random,781,0.32736527919769287,E3_interaction,1.0,opencv_haar_e1,0.06613625586032867,0.7110404372215271,Face,16641,0.6373577117919922,Body,,,,,-0.02508061336501467,,12345,0.3873909446176744
,,0.49948570132255554,mask_Body_pure_random_03_mean,pure_matched_random,789,0.0847046971321106,E3_interaction,0.0,opencv_haar_e1,0.2971753478050232,0.6649773120880127,Face,17424,0.6772796511650085,Body,,,,,0.1337484039555574,,12345,0.22876590622483223
,,0.5119225382804871,mask_Body_pure_random_03_mean,pure_matched_random,973,0.2544015645980835,E3_interaction,0.0,opencv_haar_e1,0.18952427804470062,0.846843957901001,Face,52900,0.7491224408149719,Body,,,,,-0.0768213118255283,,12345,0.3738135213686772
,,0.42680636048316956,mask_Body_pure_random_04_mean,pure_matched_random,158,0.13736306130886078,E3_interaction,1.0,opencv_haar_e1,0.14511406421661377,0.7264890074729919,Face,33856,0.7973026037216187,Body,,,,,-0.14651333870275315,,12345,0.23684528228931273
,,0.4683683216571808,mask_Body_pure_random_04_mean,pure_matched_random,287,0.20638200640678406,E3_interaction,0.0,opencv_haar_e1,0.09888938069343567,0.8294527530670166,Face,32761,0.7185937166213989,Body,,,,,0.069894191246505,,12345,0.34644418248002457
,,0.5832735896110535,mask_Body_pure_random_04_mean,pure_matched_random,415,0.21709507703781128,E3_interaction,0.0,opencv_haar_e1,0.22951176762580872,0.7044503688812256,Face,30625,0.656652569770813,Body,,,,,-0.10860754538940115,,12345,0.5382323012361891
,,0.3677899241447449,mask_Body_pure_random_04_mean,pure_matched_random,465,0.21997606754302979,E3_interaction,1.0,opencv_haar_e1,0.29134637117385864,0.7752190828323364,Face,24649,0.6904987096786499,Body,,,,,-0.14411972084628943,,12345,0.24401324376390646
,,0.5559614300727844,mask_Body_pure_random_04_mean,pure_matched_random,529,0.22563664615154266,E3_interaction,1.0,opencv_haar_e1,0.31154555082321167,0.663456916809082,Face,17161,0.6796650290489197,Body,,,,,0.0254528720674451,,12345,0.4292310397251243
,,0.6685746908187866,mask_Body_pure_random_04_mean,pure_matched_random,678,0.6074929237365723,E3_interaction,1.0,opencv_haar_e1,0.6567283272743225,0.5947301387786865,Face,17956,0.697092592716217,Body,,,,,-0.17490628861046104,,12345,0.27977221000788105
,,0.7269952297210693,mask_Body_pure_random_04_mean,pure_matched_random,756,0.4128233790397644,E3_interaction,0.0,opencv_haar_e1,0.435017466545105,0.7984954118728638,Face,42025,0.7411232590675354,Body,,,,,-0.10268203414146937,,12345,0.44937111661193946
,,0.7023941874504089,mask_Body_pure_random_04_mean,pure_matched_random,781,0.35887256264686584,E3_interaction,0.0,opencv_haar_e1,0.27068042755126953,0.7235777378082275,Face,16641,0.6746606826782227,Body,,,,,0.02361555815849805,,12345,0.41826384451983323
,,0.5040760636329651,mask_Body_pure_random_04_mean,pure_matched_random,789,0.08261823654174805,E3_interaction,0.0,opencv_haar_e1,0.2715953588485718,0.6653006076812744,Face,17424,0.6774042844772339,Body,,,,,0.13700860411276033,,12345,0.22876359351388562
,,0.5851340293884277,mask_Body_pure_random_04_mean,pure_matched_random,973,0.3316611647605896,E3_interaction,0.0,opencv_haar_e1,0.1652783751487732,0.8301796317100525,Face,52900,0.7420340180397034,Body,,,,,-0.09806874726676225,,12345,0.36059255087626113
,,0.3679707646369934,mask_Body_pure_random_05_mean,pure_matched_random,158,0.1734885573387146,E3_interaction,1.0,opencv_haar_e1,0.0913415178656578,0.7208806276321411,Face,33856,0.7770881652832031,Body,,,,,-0.16723594921263782,,12345,0.22229633558043033
,,0.48693859577178955,mask_Body_pure_random_05_mean,pure_matched_random,287,0.16841436922550201,E3_interaction,0.0,opencv_haar_e1,0.08692243695259094,0.8211185932159424,Face,32761,0.7186101078987122,Body,,,,,0.07716826430144678,,12345,0.34260098947950657
,,0.5533555746078491,mask_Body_pure_random_05_mean,pure_matched_random,415,0.2433006465435028,E3_interaction,0.0,opencv_haar_e1,0.2620983123779297,0.7034730911254883,Face,30625,0.6411024332046509,Body,,,,,-0.10960570879865032,,12345,0.5380616435937193
,,0.42042258381843567,mask_Body_pure_random_05_mean,pure_matched_random,465,0.22467206418514252,E3_interaction,1.0,opencv_haar_e1,0.25817903876304626,0.800064206123352,Face,24649,0.6932076811790466,Body,,,,,-0.1260268529783482,,12345,0.23649854764445896
,,0.5796096324920654,mask_Body_pure_random_05_mean,pure_matched_random,529,0.2114887833595276,E3_interaction,0.0,opencv_haar_e1,0.2893155813217163,0.6635847091674805,Face,17161,0.6776559352874756,Body,,,,,0.028900856242947397,,12345,0.4284620746728011
,,0.6323671936988831,mask_Body_pure_random_05_mean,pure_matched_random,678,0.1656406670808792,E3_interaction,1.0,opencv_haar_e1,0.4656650424003601,0.5636618137359619,Face,17956,0.7013660073280334,Body,,,,,-0.06300615204251481,,12345,0.25656278078936534
,,0.6902804970741272,mask_Body_pure_random_05_mean,pure_matched_random,756,0.4067583680152893,E3_interaction,0.0,opencv_haar_e1,0.4286353886127472,0.7949053049087524,Face,42025,0.7417845129966736,Body,,,,,-0.10631216512594678,,12345,0.44743047745947245
,,0.7153759002685547,mask_Body_pure_random_05_mean,pure_matched_random,781,0.29055482149124146,E3_interaction,1.0,opencv_haar_e1,0.051525991410017014,0.7057828903198242,Face,16641,0.6336452960968018,Body,,,,,-0.028789251765731647,,12345,0.38725166251315923
,,0.5062676668167114,mask_Body_pure_random_05_mean,pure_matched_random,789,0.07840065658092499,E3_interaction,0.0,opencv_haar_e1,0.265116810798645,0.6653523445129395,Face,17424,0.6779873967170715,Body,,,,,0.13510941792082382,,12345,0.22845479907725738
,,0.4888835549354553,mask_Body_pure_random_05_mean,pure_matched_random,973,0.196562260389328,E3_interaction,0.0,opencv_haar_e1,0.1873181313276291,0.8448102474212646,Face,52900,0.7491419315338135,Body,,,,,-0.08689641093845124,,12345,0.37006642165833586
,,0.4134334325790405,mask_Face_mean,target_roi,158,0.141388401389122,E3_interaction,1.0,opencv_haar_e1,0.07903605699539185,0.7186458110809326,Face,33856,0.7718362212181091,Face,,,,,-0.17368017189873813,,12345,0.2208327914741584
,,0.4976150095462799,mask_Face_mean,target_roi,287,0.1376868337392807,E3_interaction,0.0,opencv_haar_e1,0.1097351685166359,0.8317701816558838,Face,32761,0.7246325016021729,Face,,,,,0.05034493295868015,,12345,0.35825076837874453
,,0.5386171936988831,mask_Face_mean,target_roi,415,0.2429235875606537,E3_interaction,0.0,opencv_haar_e1,0.22129032015800476,0.702092707157135,Face,30625,0.6504877209663391,Face,,,,,-0.0968839359354801,,12345,0.5376330881383393
,,0.42064523696899414,mask_Face_mean,target_roi,465,0.20173127949237823,E3_interaction,0.0,opencv_haar_e1,0.2813267409801483,0.7990331053733826,Face,24649,0.6966612935066223,Face,,,,,-0.13081975193070947,,12345,0.236011079933342
,,0.6241698861122131,mask_Face_mean,target_roi,529,0.23413045704364777,E3_interaction,1.0,opencv_haar_e1,0.2843540906906128,0.6554491519927979,Face,17161,0.6741673350334167,Face,,,,,0.03506362737952926,,12345,0.4240288470218234
,,0.5938095450401306,mask_Face_mean,target_roi,678,0.08686614036560059,E3_interaction,1.0,opencv_haar_e1,0.4321202337741852,0.5610219240188599,Face,17956,0.6987826824188232,Face,,,,,-0.04992702254004846,,12345,0.25806370181103827
