background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body_pure_random_04_mean,pure_matched_random,465,E3_interaction,1.0,0.29134637117385864,0.7752190828323364,Face,24649,Body,,,,,,12345
,,mask_Body_pure_random_04_mean,pure_matched_random,529,E3_interaction,1.0,0.31154555082321167,0.663456916809082,Face,17161,Body,,,,,,12345
,,mask_Body_pure_random_04_mean,pure_matched_random,678,E3_interaction,1.0,0.6567283272743225,0.5947301387786865,Face,17956,Body,,,,,,12345
,,mask_Body_pure_random_04_mean,pure_matched_random,756,E3_interaction,0.0,0.435017466545105,0.7984954118728638,Face,42025,Body,,,,,,12345
,,mask_Body_pure_random_04_mean,pure_matched_random,781,E3_interaction,0.0,0.27068042755126953,0.7235777378082275,Face,16641,Body,,,,,,12345
,,mask_Body_pure_random_04_mean,pure_matched_random,789,E3_interaction,0.0,0.2715953588485718,0.6653006076812744,Face,17424,Body,,,,,,12345
,,mask_Body_pure_random_04_mean,pure_matched_random,973,E3_interaction,0.0,0.1652783751487732,0.8301796317100525,Face,52900,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,158,E3_interaction,1.0,0.0913415178656578,0.7208806276321411,Face,33856,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,287,E3_interaction,0.0,0.08692243695259094,0.8211185932159424,Face,32761,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,415,E3_interaction,0.0,0.2620983123779297,0.7034730911254883,Face,30625,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,465,E3_interaction,1.0,0.25817903876304626,0.800064206123352,Face,24649,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,529,E3_interaction,0.0,0.2893155813217163,0.6635847091674805,Face,17161,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,678,E3_interaction,1.0,0.4656650424003601,0.5636618137359619,Face,17956,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,756,E3_interaction,0.0,0.4286353886127472,0.7949053049087524,Face,42025,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,781,E3_interaction,1.0,0.051525991410017014,0.7057828903198242,Face,16641,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,789,E3_interaction,0.0,0.265116810798645,0.6653523445129395,Face,17424,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,973,E3_interaction,0.0,0.1873181313276291,0.8448102474212646,Face,52900,Body,,,,,,12345
,,mask_Face_mean,target_roi,158,E3_interaction,1.0,0.07903605699539185,0.7186458110809326,Face,33856,Face,,,,,,12345
,,mask_Face_mean,target_roi,287,E3_interaction,0.0,0.1097351685166359,0.8317701816558838,Face,32761,Face,,,,,,12345
,,mask_Face_mean,target_roi,415,E3_interaction,0.0,0.22129032015800476,0.702092707157135,Face,30625,Face,,,,,,12345
,,mask_Face_mean,target_roi,465,E3_interaction,0.0,0.2813267409801483,0.7990331053733826,Face,24649,Face,,,,,,12345
,,mask_Face_mean,target_roi,529,E3_interaction,1.0,0.2843540906906128,0.6554491519927979,Face,17161,Face,,,,,,12345
,,mask_Face_mean,target_roi,678,E3_interaction,1.0,0.4321202337741852,0.5610219240188599,Face,17956,Face,,,,,,12345
,,mask_Face_mean,target_roi,756,E3_interaction,0.0,0.3880452513694763,0.8029821515083313,Face,42025,Face,,,,,,12345
,,mask_Face_mean,target_roi,781,E3_interaction,0.0,0.12313156574964523,0.6962565779685974,Face,16641,Face,,,,,,12345
,,mask_Face_mean,target_roi,789,E3_interaction,0.0,0.2978072166442871,0.6756821274757385,Face,17424,Face,,,,,,12345
,,mask_Face_mean,target_roi,973,E3_interaction,0.0,0.21312662959098816,0.8341274261474609,Face,52900,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,158,E3_interaction,1.0,0.17566923797130585,0.7078904509544373,Face,33856,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,287,E3_interaction,0.0,0.13197045028209686,0.8338226079940796,Face,32761,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,415,E3_interaction,0.0,0.23242715001106262,0.700958251953125,Face,30625,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,465,E3_interaction,1.0,0.1673332154750824,0.79791259765625,Face,24649,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,529,E3_interaction,1.0,0.29081618785858154,0.6543012261390686,Face,17161,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,678,E3_interaction,1.0,0.4371127188205719,0.5628650188446045,Face,17956,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,756,E3_interaction,0.0,0.35141944885253906,0.8022383451461792,Face,42025,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,781,E3_interaction,0.0,0.0997355505824089,0.6982816457748413,Face,16641,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,789,E3_interaction,0.0,0.3045533299446106,0.6673266887664795,Face,17424,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,973,E3_interaction,0.0,0.2121766358613968,0.8336296081542969,Face,52900,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,158,E3_interaction,1.0,0.10553193092346191,0.7212315201759338,Face,33856,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,287,E3_interaction,0.0,0.10409986972808838,0.8341938257217407,Face,32761,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,415,E3_interaction,0.0,0.2454591989517212,0.7025664448738098,Face,30625,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,465,E3_interaction,1.0,0.23512548208236694,0.8076067566871643,Face,24649,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,529,E3_interaction,0.0,0.3151368200778961,0.6567196249961853,Face,17161,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,678,E3_interaction,1.0,0.28159454464912415,0.5433550477027893,Face,17956,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,756,E3_interaction,0.0,0.4287959337234497,0.7962981462478638,Face,42025,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,781,E3_interaction,1.0,0.08514058589935303,0.6883640289306641,Face,16641,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,789,E3_interaction,0.0,0.4914262294769287,0.6658955216407776,Face,17424,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,973,E3_interaction,0.0,0.2770819067955017,0.8328637480735779,Face,52900,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,158,E3_interaction,1.0,0.17190565168857574,0.7290478944778442,Face,33856,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,287,E3_interaction,0.0,0.12374761700630188,0.8346575498580933,Face,32761,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,415,E3_interaction,0.0,0.2624475657939911,0.7505128979682922,Face,30625,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,465,E3_interaction,1.0,0.2585332691669464,0.8091425895690918,Face,24649,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,529,E3_interaction,1.0,0.2795948386192322,0.6541494131088257,Face,17161,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,678,E3_interaction,1.0,0.4403935670852661,0.5606421232223511,Face,17956,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,756,E3_interaction,0.0,0.344488263130188,0.8000113368034363,Face,42025,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,781,E3_interaction,0.0,0.11952292919158936,0.6968816518783569,Face,16641,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,789,E3_interaction,0.0,0.3104398250579834,0.667563796043396,Face,17424,Face,,,,,,12345
