dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
529,0.0008642911911010739,Face,Face,clip,1
678,-0.014131629467010498,Face,Face,clip,1
756,0.045207977294921875,Face,Face,clip,1
781,-0.017725872993469238,Face,Face,clip,1
789,-0.007346951961517334,Face,Face,clip,1
973,0.015868628025054933,Face,Face,clip,1
158,0.04728360772132874,Face,Face,dino,1
287,0.005396836996078491,Face,Face,dino,1
415,-0.0031854152679443356,Face,Face,dino,1
465,-0.009408405423164366,Face,Face,dino,1
529,0.006645312905311585,Face,Face,dino,1
678,0.03192895203828812,Face,Face,dino,1
756,-0.03962780833244324,Face,Face,dino,1
781,-0.011405766010284424,Face,Face,dino,1
789,0.016182255744934083,Face,Face,dino,1
973,0.039195078611373904,Face,Face,dino,1
158,-0.0023907899856567385,Face,Face,face_lpips,1
287,-0.0024077296257019043,Face,Face,face_lpips,1
415,-0.011943864822387695,Face,Face,face_lpips,1
465,-0.0018242597579956055,Face,Face,face_lpips,1
529,-0.0002832174301147461,Face,Face,face_lpips,1
678,0.0021774768829345703,Face,Face,face_lpips,1
756,0.003821825981140137,Face,Face,face_lpips,1
781,0.0005632400512695312,Face,Face,face_lpips,1
789,0.00847533941268921,Face,Face,face_lpips,1
973,0.016703641414642333,Face,Face,face_lpips,1
158,0.06806482672691345,Face,Face,face_dino,1
287,-0.0024573683738708498,Face,Face,face_dino,1
415,0.009188878536224365,Face,Face,face_dino,1
465,-0.025225520133972168,Face,Face,face_dino,1
529,0.0177875816822052,Face,Face,face_dino,1
678,-0.030866521596908572,Face,Face,face_dino,1
756,-0.0035871267318725586,Face,Face,face_dino,1
781,-0.033845019340515134,Face,Face,face_dino,1
789,0.014708501100540162,Face,Face,face_dino,1
973,0.03867540657520294,Face,Face,face_dino,1
158,0.0,Face,Face,face_detection_success,1
287,0.2,Face,Face,face_detection_success,1
415,0.0,Face,Face,face_detection_success,1
465,0.8,Face,Face,face_detection_success,1
529,-0.2,Face,Face,face_detection_success,1
678,0.0,Face,Face,face_detection_success,1
756,0.0,Face,Face,face_detection_success,1
781,0.4,Face,Face,face_detection_success,1
789,0.0,Face,Face,face_detection_success,1
973,0.0,Face,Face,face_detection_success,1
158,-0.05942978829162308,Face,Scene,pixel_corr,1
287,0.011476717152425516,Face,Scene,pixel_corr,1
415,-0.03560485355330608,Face,Scene,pixel_corr,1
465,0.0496164341233961,Face,Scene,pixel_corr,1
529,0.007254083755242062,Face,Scene,pixel_corr,1
678,0.13144216818101762,Face,Scene,pixel_corr,1
756,-0.004719706230275308,Face,Scene,pixel_corr,1
781,-0.03213988370749587,Face,Scene,pixel_corr,1
789,-0.0016055472416741045,Face,Scene,pixel_corr,1
973,0.04521815313904292,Face,Scene,pixel_corr,1
158,-0.039580227989997566,Face,Scene,ssim,1
287,-0.007590795409491202,Face,Scene,ssim,1
415,-0.00521901466276864,Face,Scene,ssim,1
465,-0.000412576792229491,Face,Scene,ssim,1
529,0.003215323957609051,Face,Scene,ssim,1
678,-0.016084628153619218,Face,Scene,ssim,1
756,0.00416930058509325,Face,Scene,ssim,1
781,0.11707375215627405,Face,Scene,ssim,1
789,-0.0007209409948096823,Face,Scene,ssim,1
973,0.012176548329508064,Face,Scene,ssim,1
158,0.03766509294509888,Face,Scene,lpips,1
287,0.010146749019622803,Face,Scene,lpips,1
415,0.0010591387748718263,Face,Scene,lpips,1
465,0.005415809154510498,Face,Scene,lpips,1
529,-0.0039992094039916996,Face,Scene,lpips,1
678,-0.003699183464050293,Face,Scene,lpips,1
756,0.025032567977905273,Face,Scene,lpips,1
781,0.05298362970352173,Face,Scene,lpips,1
789,-0.002841639518737793,Face,Scene,lpips,1
973,-0.0012120246887207032,Face,Scene,lpips,1
158,-0.03175811171531677,Face,Scene,clip,1
287,0.01430666446685791,Face,Scene,clip,1
415,0.006485843658447267,Face,Scene,clip,1
465,0.04011157155036926,Face,Scene,clip,1
