background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body_mean,target_roi,816,E3_joint_redundancy,,,,Body,Body,0.2273780107498169,0.5769548416137695,coco_polygon,-0.04462699139216196,,12345
,,mask_Body_pure_random_01_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Body,0.22909599542617798,0.5771700739860535,coco_polygon,-0.04479908299479495,,12345
,,mask_Body_pure_random_02_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Body,0.23059196770191193,0.5751146674156189,coco_polygon,-0.04615187667142427,,12345
,,mask_Body_pure_random_03_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Body,0.24294519424438477,0.5748871564865112,coco_polygon,-0.04515844906160573,,12345
,,mask_Body_pure_random_04_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Body,0.24650907516479492,0.574129045009613,coco_polygon,-0.04450022718215516,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Body,0.23041951656341553,0.5743706226348877,coco_polygon,-0.04528840401669185,,12345
,,mask_Face+Body+Scene_mean,target_roi,816,E3_joint_redundancy,,,,Body,Face+Body+Scene,0.18259663879871368,0.5757529735565186,coco_polygon,-0.028034041327559996,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body+Scene,0.239413782954216,0.5769770741462708,coco_polygon,-0.04170098997849586,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body+Scene,0.10869196802377701,0.62148517370224,coco_polygon,-0.0887444180950831,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body+Scene,0.11620302498340607,0.6122631430625916,coco_polygon,-0.10527795285857414,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body+Scene,0.15506446361541748,0.5854654312133789,coco_polygon,-0.03508515549282906,,12345
,,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body+Scene,0.2737211585044861,0.5740684270858765,coco_polygon,-0.042747472293781424,,12345
,,mask_Face+Body_mean,target_roi,816,E3_joint_redundancy,,,,Body,Face+Body,0.22072502970695496,0.5750108957290649,coco_polygon,-0.044778557409647646,,12345
,,mask_Face+Body_pure_random_01_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body,0.20116876065731049,0.5917423963546753,coco_polygon,-0.052536101466887614,,12345
,,mask_Face+Body_pure_random_02_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body,0.22285303473472595,0.5835392475128174,coco_polygon,-0.02908122961454417,,12345
,,mask_Face+Body_pure_random_03_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body,0.21701101958751678,0.5708643198013306,coco_polygon,-0.04131930556578713,,12345
,,mask_Face+Body_pure_random_04_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body,0.20357957482337952,0.5682905316352844,coco_polygon,-0.03512246838724107,,12345
,,mask_Face+Body_pure_random_05_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Body,0.22168290615081787,0.6044572591781616,coco_polygon,-0.04295245853567277,,12345
,,mask_Face+Scene_mean,target_roi,816,E3_joint_redundancy,,,,Body,Face+Scene,0.2040223926305771,0.5796143412590027,coco_polygon,-0.020623342412214772,,12345
,,mask_Face+Scene_pure_random_01_mean,pure_matched_random,816,E3_joint_redundancy,,,,Body,Face+Scene,0.19972637295722961,0.5819746255874634,coco_polygon,-0.0619887801802765,,12345
