analysis_status,bh_q_e3b,ci95,image_category,masked_roi,metric,num_images,sign_flip_p,target_minus_pure_random
engineering_smoke,,,Scene,Body+Scene,pixel_corr,1,,0.009544958313413808
engineering_smoke,,,Scene,Body+Scene,scene_class_consistency,1,,0.0
engineering_smoke,,,Scene,Body+Scene,ssim,1,,-0.01729693293828598
engineering_smoke,,,Scene,Face+Body,background_clip,1,,0.07109419107437134
engineering_smoke,,,Scene,Face+Body,background_dino,1,,-0.016435254178941247
engineering_smoke,,,Scene,Face+Body,clip,1,,0.07109419107437134
engineering_smoke,,,Scene,Face+Body,dino,1,,-0.016435254178941247
engineering_smoke,,,Scene,Face+Body,lpips,1,,0.006697630882263184
engineering_smoke,,,Scene,Face+Body,pixel_corr,1,,-0.022278014031818314
engineering_smoke,,,Scene,Face+Body,scene_class_consistency,1,,0.0
engineering_smoke,,,Scene,Face+Body,ssim,1,,-0.028122437789026688
engineering_smoke,,,Scene,Face+Body+Scene,background_clip,1,,0.07698934078216553
engineering_smoke,,,Scene,Face+Body+Scene,background_dino,1,,-0.007574708573520182
engineering_smoke,,,Scene,Face+Body+Scene,clip,1,,0.07698934078216553
engineering_smoke,,,Scene,Face+Body+Scene,dino,1,,-0.007574708573520182
engineering_smoke,,,Scene,Face+Body+Scene,lpips,1,,0.020718884468078614
engineering_smoke,,,Scene,Face+Body+Scene,pixel_corr,1,,0.008885584833077699
engineering_smoke,,,Scene,Face+Body+Scene,scene_class_consistency,1,,0.0
engineering_smoke,,,Scene,Face+Body+Scene,ssim,1,,-0.02423625272704627
engineering_smoke,,,Scene,Face+Scene,background_clip,1,,-0.022243738174438477
engineering_smoke,,,Scene,Face+Scene,background_dino,1,,-0.019991114363074304
engineering_smoke,,,Scene,Face+Scene,clip,1,,-0.022243738174438477
engineering_smoke,,,Scene,Face+Scene,dino,1,,-0.019991114363074304
engineering_smoke,,,Scene,Face+Scene,lpips,1,,-0.0011665701866149904
engineering_smoke,,,Scene,Face+Scene,pixel_corr,1,,-0.01404916211594372
engineering_smoke,,,Scene,Face+Scene,scene_class_consistency,1,,0.0
engineering_smoke,,,Scene,Face+Scene,ssim,1,,0.010746395605500414
engineering_smoke,,,Scene,Scene,background_clip,1,,0.014960777759552003
engineering_smoke,,,Scene,Scene,background_dino,1,,-0.022261237166821955
engineering_smoke,,,Scene,Scene,clip,1,,0.014960777759552003
engineering_smoke,,,Scene,Scene,dino,1,,-0.022261237166821955
engineering_smoke,,,Scene,Scene,lpips,1,,-0.003691864013671875
engineering_smoke,,,Scene,Scene,pixel_corr,1,,0.005245790313019022
engineering_smoke,,,Scene,Scene,scene_class_consistency,1,,0.0
engineering_smoke,,,Scene,Scene,ssim,1,,0.011160803106848138
