category,condition,dataset_idx,pixel_corr,ssim,lpips,clip,dino
Body,Body_equal4_zero,21,0.06525291407818071,0.22869753011730565,0.6529244184494019,0.7459588646888733,0.6081361174583435
Body,Body_equal4_zero,40,0.24544054135174556,0.7015187981896961,0.5820764303207397,0.7269410490989685,0.23642779886722565
Body,Body_equal4_zero,220,-0.2165441088846427,0.4193024326073316,0.7130870819091797,0.35804277658462524,0.08312921971082687
Body,Body_equal4_zero,366,-0.09590383666241807,0.3957041029610221,0.7271090745925903,0.7166628241539001,0.16158190369606018
Body,Body_equal4_zero,474,0.22137818370056161,0.23794276966272404,0.6620475053787231,0.4921357333660126,0.13904798030853271
Body,Body_equal4_zero,716,-0.04509028778429213,0.225205552300788,0.6809315085411072,0.470472514629364,0.0810881033539772
Body,Body_equal4_zero,816,-0.09675501831324335,0.19602130170488583,0.6800123453140259,0.43006086349487305,0.17066600918769836
Body,Body_equal4_zero,847,-0.0236727056744767,0.3280781952562418,0.6794220209121704,0.6549686789512634,0.10045112669467926
Body,Body_equal4_zero,931,0.08770645755057485,0.29052034825392375,0.6679494380950928,0.7345492839813232,0.7158335447311401
Body,Body_equal4_zero,941,0.01499399224587017,0.3413883445729323,0.6528305411338806,0.6199185848236084,0.26663392782211304
Body,Body_full_zero,21,0.04565754979317001,0.25477350758019907,0.6743825078010559,0.7318132519721985,0.5992620587348938
Body,Body_full_zero,40,0.34669149039751307,0.7094118431789914,0.5598935484886169,0.8060116767883301,0.5490065217018127
Body,Body_full_zero,220,-0.0849587272847608,0.42943760513330037,0.6648851037025452,0.5558990240097046,0.12312813103199005
Body,Body_full_zero,366,-0.12521496119973147,0.3738305034788208,0.733856201171875,0.5810574293136597,0.03342022746801376
Body,Body_full_zero,474,0.2709257650220322,0.23463655140488876,0.6731827855110168,0.5142896771430969,0.12214849889278412
Body,Body_full_zero,716,-0.1285061026424164,0.21379943026194184,0.6664404273033142,0.43202388286590576,-0.016760509461164474
Body,Body_full_zero,816,-0.07947639355427276,0.20240577317423525,0.6569138765335083,0.29533451795578003,0.06432532519102097
Body,Body_full_zero,847,-0.030211379550102887,0.3235486601312798,0.6873033046722412,0.6522408723831177,0.22141097486019135
Body,Body_full_zero,931,0.20449249089280241,0.280071926600311,0.6680150032043457,0.6833740472793579,0.6856573224067688
Body,Body_full_zero,941,-0.05710140965258116,0.3042024482617929,0.6480274796485901,0.5111011266708374,0.0809483528137207
Body,Body_random_equal4_01_zero,21,0.07161280330372002,0.2206456735466461,0.6547625064849854,0.7339548468589783,0.5980330109596252
Body,Body_random_equal4_01_zero,40,0.24109912900042624,0.7042445758790787,0.577027440071106,0.7145323157310486,0.23402446508407593
Body,Body_random_equal4_01_zero,220,-0.14103528384593064,0.42282789375444363,0.7103310227394104,0.42290717363357544,0.04551864415407181
Body,Body_random_equal4_01_zero,366,-0.1341843331662349,0.37425295042974444,0.7357421517372131,0.6772998571395874,0.12274397909641266
Body,Body_random_equal4_01_zero,474,0.2124287294186178,0.2422380136895545,0.6714580655097961,0.4016951620578766,0.06900530308485031
