category,condition,dataset_idx,pixel_corr,ssim,lpips,clip,dino
Scene,Body_unrelated_equal4_zero,132,0.08463534758988527,0.1008526710372861,0.6916841268539429,0.5497856140136719,0.16511327028274536
Scene,Body_unrelated_equal4_zero,199,0.16855357482352493,0.20356780234441782,0.6868491172790527,0.6675889492034912,0.14323091506958008
Scene,Body_unrelated_equal4_zero,214,-0.10519746857261647,0.3228094370606034,0.6883644461631775,0.6741122603416443,0.08085749298334122
Scene,Body_unrelated_equal4_zero,303,0.139940529892721,0.46222956108751334,0.7568457722663879,0.621231198310852,-0.0018338561058044434
Scene,Body_unrelated_equal4_zero,486,0.10221249669087491,0.08180734020966011,0.7255709171295166,0.5246627926826477,0.03419150412082672
Scene,Body_unrelated_equal4_zero,545,0.07420837261413468,0.42737883787614767,0.7593563199043274,0.6935057640075684,0.01564916782081127
Scene,Body_unrelated_equal4_zero,640,-0.06128713855048459,0.16517057542936547,0.6445314884185791,0.8277498483657837,0.5830743312835693
Scene,Body_unrelated_equal4_zero,842,0.045665422361891375,0.2574778412333455,0.781079888343811,0.7201162576675415,0.059633560478687286
Scene,Body_unrelated_equal4_zero,893,0.33784547821173566,0.28165339728260824,0.8056394457817078,0.545372724533081,0.0659242570400238
Scene,Body_unrelated_equal4_zero,999,0.1111208762184496,0.3211184774365567,0.719037652015686,0.683555006980896,0.0024321526288986206
Scene,Scene_equal4_zero,132,0.08511188593462995,0.10300726103012918,0.6876779198646545,0.5407335758209229,0.13608404994010925
Scene,Scene_equal4_zero,199,0.12626581267937276,0.19297394536252754,0.7067428231239319,0.6061500310897827,0.1201462522149086
Scene,Scene_equal4_zero,214,-0.10514311117286598,0.3114387358519391,0.6756274700164795,0.6685811877250671,0.15414492785930634
Scene,Scene_equal4_zero,303,0.17412853782444454,0.4670720570470238,0.7547659277915955,0.6638323664665222,0.015227414667606354
Scene,Scene_equal4_zero,486,0.10661918664419007,0.09040961025786319,0.6893918514251709,0.5545594692230225,0.12498804926872253
Scene,Scene_equal4_zero,545,0.10890817535957906,0.4372224214862742,0.7756738662719727,0.7460347414016724,0.026543069630861282
Scene,Scene_equal4_zero,640,-0.07705011442983335,0.171827270463217,0.6290017366409302,0.8207165002822876,0.6504898071289062
Scene,Scene_equal4_zero,842,0.035556225700379314,0.26327959761637076,0.7864498496055603,0.7099162936210632,0.0794026255607605
Scene,Scene_equal4_zero,893,0.3450677358371914,0.2824374831670519,0.785484790802002,0.5454444885253906,0.05897536873817444
Scene,Scene_equal4_zero,999,0.0664128142286741,0.3245308853577256,0.7270020246505737,0.6777681708335876,0.016720175743103027
Scene,Scene_full_zero,132,0.11077460756095851,0.12762738034884238,0.6432220935821533,0.5256868600845337,0.1143428385257721
Scene,Scene_full_zero,199,0.12159465617967506,0.20231455051959155,0.6925883293151855,0.58696049451828,0.07489900290966034
Scene,Scene_full_zero,214,-0.14327291261796346,0.3043806960899823,0.6854251623153687,0.8128518462181091,0.1460842788219452
Scene,Scene_full_zero,303,0.10863888770655972,0.4624947857911076,0.719266414642334,0.6950400471687317,0.007600277662277222
Scene,Scene_full_zero,486,0.07542705277226737,0.07648691750963586,0.7386107444763184,0.607486367225647,0.07140354067087173
Scene,Scene_full_zero,545,0.06235370261231469,0.39850906187487417,0.7327491044998169,0.7350630760192871,0.026383087038993835
Scene,Scene_full_zero,640,-0.07691948214083486,0.20586628354916783,0.8409260511398315,0.6121813058853149,0.0841333270072937
Scene,Scene_full_zero,842,0.11948468111833034,0.2645386881917482,0.7660788297653198,0.7302954792976379,0.04695672541856766
Scene,Scene_full_zero,893,0.21213494342395864,0.26970163637740163,0.7882341146469116,0.3911641538143158,0.08955219388008118
Scene,Scene_full_zero,999,0.08087468952479507,0.3184291697405645,0.7308235168457031,0.6812756061553955,0.02605181373655796
Scene,Scene_random_equal4_01_zero,132,0.09653304331436131,0.1015342731293278,0.6746006011962891,0.5238826870918274,0.11602924764156342
Scene,Scene_random_equal4_01_zero,199,0.12905131724764174,0.20422197755002428,0.6803957223892212,0.5848544836044312,0.07919739186763763
Scene,Scene_random_equal4_01_zero,214,-0.12573924160770533,0.28384641387620063,0.6623156666755676,0.8811269998550415,0.19568563997745514
Scene,Scene_random_equal4_01_zero,303,0.126274409160069,0.4436025588229802,0.7275557518005371,0.6219691038131714,0.05653265491127968
Scene,Scene_random_equal4_01_zero,486,0.12855565196708116,0.09482042228534321,0.7215937376022339,0.6890020370483398,0.18107250332832336
Scene,Scene_random_equal4_01_zero,545,0.08463563782336977,0.4119080003690918,0.7507980465888977,0.7221039533615112,0.07449455559253693
Scene,Scene_random_equal4_01_zero,640,-0.05680116831581055,0.1655364684020188,0.6392631530761719,0.7999963760375977,0.6317635774612427
Scene,Scene_random_equal4_01_zero,842,0.06031811585692422,0.270711464574222,0.7906694412231445,0.6820361614227295,0.077032171189785
Scene,Scene_random_equal4_01_zero,893,0.3436234775723118,0.28437157535257285,0.7788792848587036,0.5369472503662109,0.07192709296941757
Scene,Scene_random_equal4_01_zero,999,0.07668232137121381,0.32384051679313514,0.7235096096992493,0.6536564826965332,0.0067417211830616
Scene,Scene_random_equal4_02_zero,132,0.08799802967545649,0.10321977425531279,0.6891443729400635,0.538620114326477,0.14499236643314362
Scene,Scene_random_equal4_02_zero,199,0.1394844883160928,0.20311110569114543,0.6863521337509155,0.577875554561615,0.1003294289112091
Scene,Scene_random_equal4_02_zero,214,-0.08804600999892022,0.2788788391212557,0.6512875556945801,0.8191989660263062,0.1239662617444992
Scene,Scene_random_equal4_02_zero,303,0.09003072187133371,0.4576985620372573,0.7526272535324097,0.7126367092132568,0.0573820061981678
Scene,Scene_random_equal4_02_zero,486,0.11549255977124469,0.08903268529369571,0.7375555038452148,0.5666450262069702,0.09515406936407089
Scene,Scene_random_equal4_02_zero,545,0.16071959864259708,0.4365640969858475,0.770776629447937,0.6865134239196777,0.04371293634176254
Scene,Scene_random_equal4_02_zero,640,-0.05822586393464383,0.1652166176668228,0.6355127096176147,0.811286985874176,0.6482844352722168
Scene,Scene_random_equal4_02_zero,842,0.09017105054743527,0.278371388997437,0.8022451400756836,0.6789199709892273,0.06856022775173187
Scene,Scene_random_equal4_02_zero,893,0.3380768858688808,0.28159375894458055,0.7911211252212524,0.5408809185028076,0.07351848483085632
Scene,Scene_random_equal4_02_zero,999,0.08540586960986021,0.3248837477658985,0.7302043437957764,0.6602773666381836,-0.03138028457760811
Scene,Scene_random_equal4_03_zero,132,0.07967369703520458,0.10175307151853664,0.6875620484352112,0.5433534383773804,0.1267608404159546
Scene,Scene_random_equal4_03_zero,199,0.1579997445694857,0.20410471648875658,0.7009983062744141,0.5808989405632019,0.05949053913354874
Scene,Scene_random_equal4_03_zero,214,-0.0862208923671579,0.3118110696761655,0.6916790008544922,0.7139838337898254,0.06716322898864746
Scene,Scene_random_equal4_03_zero,303,0.1220491862888135,0.43917752234405105,0.7322219610214233,0.5998532176017761,0.04845434054732323
Scene,Scene_random_equal4_03_zero,486,0.12896863028361244,0.09751061628707763,0.7101629972457886,0.6604235768318176,0.23494073748588562
Scene,Scene_random_equal4_03_zero,545,0.1107137830191329,0.4496654615347139,0.7752536535263062,0.7436766028404236,0.0224999338388443
Scene,Scene_random_equal4_03_zero,640,-0.06610215481602856,0.1646600344025024,0.6402435302734375,0.8019222021102905,0.657806396484375
Scene,Scene_random_equal4_03_zero,842,0.025238139082627502,0.2620847285033477,0.7674249410629272,0.6994342803955078,0.029082246124744415
Scene,Scene_random_equal4_03_zero,893,0.34353433912260833,0.2832307880254384,0.7794661521911621,0.5215984582901001,0.08153797686100006
Scene,Scene_random_equal4_03_zero,999,0.05585493927346759,0.3217322114008973,0.728148341178894,0.6797833442687988,-0.003592582419514656
Scene,Scene_random_equal4_04_zero,132,0.0895432876653548,0.10000470144192256,0.6676579117774963,0.5032030344009399,0.18513557314872742
Scene,Scene_random_equal4_04_zero,199,0.1161177510347823,0.1989010223992786,0.7077319622039795,0.6898376941680908,0.1633981615304947
Scene,Scene_random_equal4_04_zero,214,-0.1148268270238355,0.291818840691901,0.6773779988288879,0.8578491806983948,0.2652246952056885
Scene,Scene_random_equal4_04_zero,303,0.1266027318752595,0.44195164564488804,0.7372315526008606,0.6275167465209961,0.1299484223127365
Scene,Scene_random_equal4_04_zero,486,0.1193910126824997,0.09744324984175239,0.7232412099838257,0.6424548625946045,0.18066814541816711
Scene,Scene_random_equal4_04_zero,545,0.0774073966945164,0.4049677754405641,0.7661644816398621,0.7376875877380371,0.07088786363601685
Scene,Scene_random_equal4_04_zero,640,-0.05979975626606185,0.1678888818093787,0.6328287124633789,0.8194404244422913,0.6129529476165771
