category,condition,dataset_idx,pixel_corr,ssim,lpips,clip,dino
Face,Body_unrelated_equal4_zero,158,-0.1743163094264741,0.21971242603098878,0.7732735872268677,0.4277022182941437,0.15484917163848877
Face,Body_unrelated_equal4_zero,287,0.03584201397385641,0.35189013255312807,0.7260284423828125,0.49564534425735474,0.14015862345695496
Face,Body_unrelated_equal4_zero,415,-0.09997516153987307,0.5386617845755255,0.6527373790740967,0.6121118068695068,0.28214648365974426
Face,Body_unrelated_equal4_zero,465,-0.12645925747883427,0.2385794357181845,0.6967451572418213,0.4426964223384857,0.2129901647567749
Face,Body_unrelated_equal4_zero,529,0.04010301390443597,0.4166888397655568,0.681172788143158,0.6257814764976501,0.27128782868385315
Face,Body_unrelated_equal4_zero,678,-0.050980015652365485,0.2579018148942803,0.6950658559799194,0.597870409488678,0.09966810792684555
Face,Body_unrelated_equal4_zero,756,-0.11526677938186224,0.4475836201878076,0.7345949411392212,0.658797025680542,0.3524320423603058
Face,Body_unrelated_equal4_zero,781,0.011603485077073188,0.41646340968674994,0.6649245023727417,0.6856939196586609,0.26702681183815
Face,Body_unrelated_equal4_zero,789,0.10669849437151013,0.2226638960146276,0.6795485019683838,0.5162742733955383,0.09462301433086395
Face,Body_unrelated_equal4_zero,973,-0.06711703783170025,0.37191601128832774,0.7404859066009521,0.5709617733955383,0.2885555028915405
Face,Face_full_zero,158,-0.17270658210083642,0.22232587581315083,0.7758393287658691,0.42190060019493103,0.15397775173187256
Face,Face_full_zero,287,0.04385504230095475,0.35782244293010235,0.7260571718215942,0.4830165505409241,0.13015994429588318
Face,Face_full_zero,415,-0.10228915476754588,0.5390901727271527,0.6507290601730347,0.6000915765762329,0.266669362783432
Face,Face_full_zero,465,-0.12082121678674626,0.2374586379972506,0.6936995983123779,0.44928401708602905,0.2373095154762268
Face,Face_full_zero,529,0.03581760536080561,0.42966852824563273,0.679850161075592,0.6206648349761963,0.2108706831932068
Face,Face_full_zero,678,-0.046532482576176024,0.25842679571424093,0.6988413333892822,0.5873263478279114,0.08509954810142517
Face,Face_full_zero,756,-0.11973086809202933,0.4389150734173719,0.7373306751251221,0.6099900007247925,0.38639968633651733
Face,Face_full_zero,781,-0.00033273011547386804,0.39130326966865125,0.6480700373649597,0.7009660005569458,0.3261849284172058
Face,Face_full_zero,789,0.14408479420297607,0.2295882137588672,0.6749050617218018,0.5100933909416199,0.08962643146514893
Face,Face_full_zero,973,-0.07456470522108605,0.3636184918593646,0.745495617389679,0.540950357913971,0.2681806981563568
Face,Face_random_full_01_zero,158,-0.14838919559713745,0.2353673410061103,0.774245023727417,0.4599396884441376,0.2083391696214676
Face,Face_random_full_01_zero,287,0.04415109633389866,0.3589112809858261,0.7282696962356567,0.4891199469566345,0.14076560735702515
Face,Face_random_full_01_zero,415,-0.10106962551661806,0.5356078225585409,0.6407886147499084,0.6001018285751343,0.22553664445877075
Face,Face_random_full_01_zero,465,-0.11755105145535805,0.23965020734811002,0.6982893943786621,0.4350185692310333,0.2150069624185562
Face,Face_random_full_01_zero,529,0.031235014480761346,0.42665562149269814,0.6738826036453247,0.6074646711349487,0.21805274486541748
Face,Face_random_full_01_zero,678,-0.03841668332692388,0.25913925288497086,0.6931037902832031,0.5736878514289856,0.12932085990905762
Face,Face_random_full_01_zero,756,-0.10499366996141374,0.4302555793803406,0.7191224098205566,0.6372717022895813,0.3940069079399109
Face,Face_random_full_01_zero,781,0.04162210121313827,0.42123840874452534,0.6645548343658447,0.6805051565170288,0.29855334758758545
Face,Face_random_full_01_zero,789,0.14252280355843316,0.2296593306706446,0.6817179322242737,0.5054494142532349,0.07544480264186859
Face,Face_random_full_01_zero,973,-0.06510297570150762,0.37633018051972644,0.738762378692627,0.5792173147201538,0.2953893542289734
Face,Face_random_full_02_zero,158,-0.12790761450232646,0.22166220013694798,0.7708854675292969,0.44123613834381104,0.24460385739803314
Face,Face_random_full_02_zero,287,0.04544960107036582,0.3554815427255107,0.7305487394332886,0.5169996619224548,0.1921612024307251
Face,Face_random_full_02_zero,415,-0.09779932736791563,0.5385960201856582,0.6292679905891418,0.6038335561752319,0.23254668712615967
Face,Face_random_full_02_zero,465,-0.14142740894103162,0.23887641015420086,0.692314624786377,0.4325537085533142,0.20981639623641968
Face,Face_random_full_02_zero,529,0.04953140943647752,0.4190041762865986,0.6875404119491577,0.6277334690093994,0.29897767305374146
Face,Face_random_full_02_zero,678,-0.04817704886942752,0.2512975481470476,0.6980675458908081,0.5387392640113831,0.1464877873659134
Face,Face_random_full_02_zero,756,-0.08558418720900439,0.4383751617901916,0.7246978282928467,0.7554665803909302,0.3952931761741638
Face,Face_random_full_02_zero,781,-0.020302588653197826,0.3984853290621184,0.6367809772491455,0.708870530128479,0.29406705498695374
Face,Face_random_full_02_zero,789,0.13948899637547393,0.22656078956579073,0.6739411354064941,0.4958570897579193,0.07168925553560257
Face,Face_random_full_02_zero,973,-0.0674524049592531,0.35530934313867385,0.7386079430580139,0.5920945405960083,0.3407266139984131
Face,Face_random_full_03_zero,158,-0.14739497150734163,0.21909050577670358,0.768211841583252,0.47426074743270874,0.22495141625404358
Face,Face_random_full_03_zero,287,0.048376194334362854,0.35835074382405707,0.7267510890960693,0.4804288446903229,0.1260135918855667
Face,Face_random_full_03_zero,415,-0.0944305594090289,0.5353312312081763,0.649229109287262,0.5576766133308411,0.2348053753376007
Face,Face_random_full_03_zero,465,-0.10567224927941844,0.2321806304641165,0.6970228552818298,0.4343597888946533,0.14234210550785065
Face,Face_random_full_03_zero,529,0.04383248159701263,0.42597410312547973,0.6752426624298096,0.598636269569397,0.2683999538421631
Face,Face_random_full_03_zero,678,-0.041561403672466565,0.2595503993400976,0.6981253623962402,0.6134470701217651,0.11246055364608765
Face,Face_random_full_03_zero,756,-0.11849160572424086,0.4441820155484905,0.7359671592712402,0.6449292898178101,0.3788135349750519
Face,Face_random_full_03_zero,781,0.025871791503943625,0.400437693249851,0.6590436100959778,0.7232644557952881,0.32578545808792114
Face,Face_random_full_03_zero,789,0.13214202837751587,0.2261376953050121,0.6651492118835449,0.5134620666503906,0.10549598187208176
Face,Face_random_full_03_zero,973,-0.07165750856000745,0.3673957138869085,0.7427126169204712,0.5358368754386902,0.25165340304374695
Face,Face_random_full_04_zero,158,-0.18133144700761666,0.236065917525158,0.7816425561904907,0.4207794666290283,0.17330606281757355
Face,Face_random_full_04_zero,287,0.04515577293745113,0.3586983144722505,0.7215798497200012,0.48513951897621155,0.13637837767601013
Face,Face_random_full_04_zero,415,-0.09282044303008719,0.5368181037722328,0.6339896321296692,0.5496612191200256,0.2138119339942932
Face,Face_random_full_04_zero,465,-0.11970452184466018,0.23690353431678635,0.6938497424125671,0.44386905431747437,0.2358630746603012
Face,Face_random_full_04_zero,529,0.03101159168730257,0.4228584126222976,0.6808382868766785,0.6365537643432617,0.22121353447437286
Face,Face_random_full_04_zero,678,-0.05715831969157332,0.25953909736840985,0.6950213313102722,0.5726560950279236,0.14147377014160156
Face,Face_random_full_04_zero,756,-0.1023290504025891,0.4511837719614421,0.7371911406517029,0.7308870553970337,0.42286521196365356
Face,Face_random_full_04_zero,781,-0.003495783548218056,0.40198916419000463,0.6465508937835693,0.707317590713501,0.32495206594467163
Face,Face_random_full_04_zero,789,0.1414479726635698,0.2248773600534966,0.6976342797279358,0.5049681067466736,0.09459690749645233
Face,Face_random_full_04_zero,973,-0.07609752047795167,0.37393813156091393,0.7409528493881226,0.5864230394363403,0.3337629437446594
Face,Face_random_full_05_zero,158,-0.15001129297894464,0.23414749151239125,0.7635109424591064,0.41728782653808594,0.21025729179382324
Face,Face_random_full_05_zero,287,0.049450743326397546,0.3548112733197217,0.7224843502044678,0.5013554096221924,0.0996025949716568
Face,Face_random_full_05_zero,415,-0.09810405148288663,0.5280067301235418,0.6514100432395935,0.5660407543182373,0.19963106513023376
Face,Face_random_full_05_zero,465,-0.11202769589511057,0.23967389824859534,0.6962876319885254,0.45926064252853394,0.23116633296012878
Face,Face_random_full_05_zero,529,0.03428422773466366,0.4248896653351758,0.6761595010757446,0.6184201836585999,0.2633867561817169
Face,Face_random_full_05_zero,678,-0.03783768945566011,0.26302548522088576,0.69744873046875,0.5965274572372437,0.12267743051052094
Face,Face_random_full_05_zero,756,-0.11266219077073619,0.43663020804789987,0.7154589891433716,0.6365224123001099,0.40559977293014526
Face,Face_random_full_05_zero,781,0.054861545087004256,0.4146369532600648,0.6606802940368652,0.7042566537857056,0.3186829090118408
Face,Face_random_full_05_zero,789,0.14388021408888516,0.22552568781643714,0.6750323176383972,0.5058102011680603,0.10060590505599976
Face,Face_random_full_05_zero,973,-0.07566940528149294,0.36451581457346915,0.735194981098175,0.5594421625137329,0.3132825493812561
Face,no_mask,158,-0.17304165666007998,0.22128520713083988,0.7729016542434692,0.4155862331390381,0.12675678730010986
Face,no_mask,287,0.04858096490553917,0.3577018346179279,0.7255535125732422,0.4942604601383209,0.14112773537635803
Face,no_mask,415,-0.09667515178340398,0.5372379786546028,0.6506620049476624,0.5286732912063599,0.2502877712249756
Face,no_mask,465,-0.12671766509080643,0.2376999399621919,0.6966586709022522,0.43598124384880066,0.23297595977783203
Face,no_mask,529,0.03488391632792293,0.425594475209944,0.6784002184867859,0.6302435398101807,0.23512965440750122
Face,no_mask,678,-0.04671807676319623,0.25916465226883734,0.6979504227638245,0.5728144645690918,0.10372088849544525
Face,no_mask,756,-0.11654148346446937,0.4405715666995325,0.7360387444496155,0.6525816917419434,0.358107328414917
Face,no_mask,781,0.005920772639721124,0.4000028935713823,0.6471989750862122,0.7277960777282715,0.3291642665863037
Face,no_mask,789,0.14141374178490626,0.22854812889963716,0.6766180396080017,0.48918670415878296,0.09410589188337326
Face,no_mask,973,-0.07107759013264661,0.3655005521876332,0.7436923980712891,0.5470284819602966,0.26016765832901
