background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
0.681332528591156,0.023989442735910416,mask_Body_pure_random_01_mean,pure_matched_random,999,E3_interaction,,,,Scene,Body,,,coco_polygon,,1.0,12345
0.6725589036941528,0.04091987758874893,mask_Body_pure_random_02_mean,pure_matched_random,999,E3_interaction,,,,Scene,Body,,,coco_polygon,,1.0,12345
0.6745533347129822,0.028672322630882263,mask_Body_pure_random_03_mean,pure_matched_random,999,E3_interaction,,,,Scene,Body,,,coco_polygon,,1.0,12345
0.639610767364502,-0.0093106459826231,mask_Body_pure_random_04_mean,pure_matched_random,999,E3_interaction,,,,Scene,Body,,,coco_polygon,,1.0,12345
0.6726065278053284,0.034750521183013916,mask_Body_pure_random_05_mean,pure_matched_random,999,E3_interaction,,,,Scene,Body,,,coco_polygon,,1.0,12345
0.6912159323692322,0.01660316064953804,mask_Face_mean,target_roi,999,E3_interaction,,,,Scene,Face,,,coco_polygon,,1.0,12345
0.6682085394859314,0.017304837703704834,mask_Face_pure_random_01_mean,pure_matched_random,999,E3_interaction,,,,Scene,Face,,,coco_polygon,,1.0,12345
0.6681554317474365,0.01919589936733246,mask_Face_pure_random_02_mean,pure_matched_random,999,E3_interaction,,,,Scene,Face,,,coco_polygon,,1.0,12345
0.6290538311004639,0.00654627475887537,mask_Face_pure_random_03_mean,pure_matched_random,999,E3_interaction,,,,Scene,Face,,,coco_polygon,,1.0,12345
0.699229896068573,0.004024878144264221,mask_Face_pure_random_04_mean,pure_matched_random,999,E3_interaction,,,,Scene,Face,,,coco_polygon,,1.0,12345
0.6327295899391174,0.009501410648226738,mask_Face_pure_random_05_mean,pure_matched_random,999,E3_interaction,,,,Scene,Face,,,coco_polygon,,1.0,12345
0.6559444069862366,0.028422456234693527,mask_Scene_mean,target_roi,999,E3_interaction,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6447706818580627,-0.010020904242992401,mask_Scene_pure_random_01_mean,pure_matched_random,999,E3_interaction,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.676237940788269,-0.007900024764239788,mask_Scene_pure_random_02_mean,pure_matched_random,999,E3_interaction,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6765748858451843,-0.0016420911997556686,mask_Scene_pure_random_03_mean,pure_matched_random,999,E3_interaction,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6656299233436584,0.028513453900814056,mask_Scene_pure_random_04_mean,pure_matched_random,999,E3_interaction,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6332454085350037,0.027856970205903053,mask_Scene_pure_random_05_mean,pure_matched_random,999,E3_interaction,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6646543741226196,0.03052123449742794,no_mask,none,999,E3_interaction,,,,Scene,none,,,coco_polygon,,1.0,12345
0.6646543741226196,0.03052123449742794,no_mask_repeat,none,999,E3_interaction,,,,Scene,none,,,coco_polygon,,1.0,12345
