background_clip,background_dino,clip,condition,control_type,dataset_idx,dino,experiment,face_detection_success,face_detector_backend,face_dino,face_lpips,image_category,lpips,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,pixel_corr,scene_class_consistency,seed,ssim
,,0.5597646832466125,mask_Body_mean,target_roi,973,0.28976184129714966,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.10099411755800247,0.8862714171409607,Face,0.7442302107810974,Body,,,,,-0.0827909632979048,,12345,0.3610602314351524
,,0.5446237921714783,mask_Body_pure_random_01_mean,pure_matched_random,973,0.26412349939346313,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.10526968538761139,0.8712061047554016,Face,0.7443963885307312,Body,,,,,-0.07135804404278419,,12345,0.36603041560428173
,,0.5426994562149048,mask_Body_pure_random_02_mean,pure_matched_random,973,0.25818300247192383,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.11461152136325836,0.8700255155563354,Face,0.7424483895301819,Body,,,,,-0.07054345287692866,,12345,0.36637557873995613
,,0.5119225382804871,mask_Body_pure_random_03_mean,pure_matched_random,973,0.2544015645980835,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.20868048071861267,0.8681562542915344,Face,0.7491224408149719,Body,,,,,-0.0768213118255283,,12345,0.3738135213686772
,,0.5851340293884277,mask_Body_pure_random_04_mean,pure_matched_random,973,0.3316611647605896,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.17421066761016846,0.850524365901947,Face,0.7420340776443481,Body,,,,,-0.09806874726676225,,12345,0.36059255087626113
,,0.4888835549354553,mask_Body_pure_random_05_mean,pure_matched_random,973,0.196562260389328,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.21805432438850403,0.867659866809845,Face,0.7491419315338135,Body,,,,,-0.08689641093845124,,12345,0.37006642165833586
,,0.5389006733894348,mask_Face_mean,target_roi,973,0.26758313179016113,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.10863777995109558,0.8719189167022705,Face,0.7446771860122681,Face,,,,,-0.0715910020271136,,12345,0.3662513096775326
,,0.5457888245582581,mask_Face_pure_random_01_mean,pure_matched_random,973,0.26685094833374023,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.1048692911863327,0.8744094371795654,Face,0.7451497912406921,Face,,,,,-0.07412691006530546,,12345,0.36606268887218424
,,0.5409454107284546,mask_Face_pure_random_02_mean,pure_matched_random,973,0.303622841835022,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.16107067465782166,0.8788959980010986,Face,0.7472609877586365,Face,,,,,-0.0709017148951715,,12345,0.3743575932108292
,,0.5641985535621643,mask_Face_pure_random_03_mean,pure_matched_random,973,0.35600337386131287,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.21784551441669464,0.8241277933120728,Face,0.7355257272720337,Face,,,,,-0.06612846521790111,,12345,0.35659737790574264
,,0.5488589406013489,mask_Face_pure_random_04_mean,pure_matched_random,973,0.26714593172073364,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.11765975505113602,0.8679068684577942,Face,0.7403057813644409,Face,,,,,-0.06223834513181221,,12345,0.3706367994831766
,,0.5740547776222229,mask_Face_pure_random_05_mean,pure_matched_random,973,0.34026795625686646,E3_interaction,0.0,skimage_bundled_lbp_smoke_fallback,0.21128851175308228,0.8249687552452087,Face,0.7395150661468506,Face,,,,,-0.065081913784075,,12345,0.3565692562164678
