dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
973,-0.008233098189036052,Face,Body,lpips,3
1,-0.029190053542455043,Face,Body,clip,3
16,-0.014001343647638956,Face,Body,clip,3
20,0.012205247084299724,Face,Body,clip,3
51,0.01930206616719564,Face,Body,clip,3
77,-0.007790265480677286,Face,Body,clip,3
135,-0.08739090164502462,Face,Body,clip,3
158,-0.02126125494639079,Face,Body,clip,3
177,0.0050935665766398104,Face,Body,clip,3
188,0.0050967574119567885,Face,Body,clip,3
218,0.0035279035568237297,Face,Body,clip,3
287,0.02521838347117106,Face,Body,clip,3
292,0.02963034113248189,Face,Body,clip,3
295,0.11747968693574269,Face,Body,clip,3
340,-0.0006609578927357999,Face,Body,clip,3
375,0.0005704204241434729,Face,Body,clip,3
384,0.0014324108759562182,Face,Body,clip,3
415,0.05341889460881551,Face,Body,clip,3
434,0.01390857696533203,Face,Body,clip,3
465,0.017016647259394325,Face,Body,clip,3
498,0.019302650292714437,Face,Body,clip,3
507,-0.005660186211268107,Face,Body,clip,3
529,-0.017939500013987225,Face,Body,clip,3
561,0.004805217186609903,Face,Body,clip,3
588,-0.0077872256437937415,Face,Body,clip,3
606,0.04383442401885987,Face,Body,clip,3
678,0.03495762348175049,Face,Body,clip,3
708,-0.011269207795461018,Face,Body,clip,3
756,0.015323400497436523,Face,Body,clip,3
762,-0.028187092145284018,Face,Body,clip,3
781,0.02927560806274414,Face,Body,clip,3
789,-0.0064367473125457745,Face,Body,clip,3
817,-0.005623416105906168,Face,Body,clip,3
820,0.013380928834279384,Face,Body,clip,3
838,0.006001102924346924,Face,Body,clip,3
877,-0.025470956166585287,Face,Body,clip,3
887,-0.10143043398857117,Face,Body,clip,3
973,0.003684043884277345,Face,Body,clip,3
1,-0.0030847191810607923,Face,Body,dino,3
16,-0.018572503079970677,Face,Body,dino,3
20,-0.013173460960388184,Face,Body,dino,3
51,0.00795830845211943,Face,Body,dino,3
77,-0.03418558022628228,Face,Body,dino,3
135,-0.04111075748999913,Face,Body,dino,3
158,-0.04420303553342819,Face,Body,dino,3
177,0.0026019593079884846,Face,Body,dino,3
188,-0.003890163730829952,Face,Body,dino,3
218,0.021624738971392315,Face,Body,dino,3
287,0.023851803938547772,Face,Body,dino,3
292,0.006163075566291809,Face,Body,dino,3
295,0.11486758198589087,Face,Body,dino,3
340,-0.0013079404830932614,Face,Body,dino,3
375,0.015690989047288894,Face,Body,dino,3
384,-0.013115024566650391,Face,Body,dino,3
415,0.06189584285020828,Face,Body,dino,3
434,-0.006741867462793985,Face,Body,dino,3
465,0.011663277447223662,Face,Body,dino,3
498,0.029971721768379214,Face,Body,dino,3
507,-0.015008475383122763,Face,Body,dino,3
529,-0.029484393199284874,Face,Body,dino,3
561,-0.017396310965220135,Face,Body,dino,3
588,-0.007349800318479538,Face,Body,dino,3
606,0.0067650743760168525,Face,Body,dino,3
678,0.04546362260977427,Face,Body,dino,3
708,0.06082886556784312,Face,Body,dino,3
756,-0.07662954231103263,Face,Body,dino,3
762,0.026324150959650672,Face,Body,dino,3
781,0.06889773607254028,Face,Body,dino,3
789,0.01096633772055308,Face,Body,dino,3
817,0.04772313038508097,Face,Body,dino,3
820,-0.005943866570790613,Face,Body,dino,3
838,0.015710749725500742,Face,Body,dino,3
877,-0.006162361303965251,Face,Body,dino,3
887,-0.00889181892077128,Face,Body,dino,3
973,0.008530376354853313,Face,Body,dino,3
1,0.014641896883646645,Face,Body,face_lpips,3
16,-0.001500360171000163,Face,Body,face_lpips,3
20,-0.004036748409271239,Face,Body,face_lpips,3
51,0.0012715180714925126,Face,Body,face_lpips,3
77,-0.009427924950917562,Face,Body,face_lpips,3
135,0.005376360813776653,Face,Body,face_lpips,3
