analysis_status,bh_q_e3a,ci95,masked_roi,matched_minus_nonmatched,metric,nonmatched_category_weighting,num_matched_images,num_nonmatched_categories,num_nonmatched_images,permutation_p
formal,0.3580891910808919,"[0.00048662764155239075, 0.00841206893881648]",Face,0.0043645159324665235,pixel_corr,equal_category_mean,37,2,100,0.09549045095490451
formal,0.3580891910808919,"[-0.0034960155820253527, -0.0001249426010138524]",Face,-0.0017690339500598035,ssim,equal_category_mean,37,2,100,0.08299170082991701
formal,0.7784221577842215,"[-0.0007412468366660514, 0.0033934456762966803]",Face,0.0013308555607323173,lpips,equal_category_mean,37,2,100,0.3528647135286471
formal,0.9457054294570543,"[-0.006794647314855915, 0.012290315580535845]",Face,0.002288140899157739,clip,equal_category_mean,37,2,100,0.6302369763023697
formal,0.9457054294570543,"[-0.011058141776798964, 0.012711931181580307]",Face,0.0012378024263097695,dino,equal_category_mean,37,2,100,0.8835116488351165
formal,0.9457054294570543,"[-0.007912534227304568, 0.005184168025134452]",Body,-0.0012813612082821627,pixel_corr,equal_category_mean,50,2,87,0.6985301469853015
formal,0.9457054294570543,"[-0.0025066678300811342, 0.003991155535125772]",Body,0.0007148289548186928,ssim,equal_category_mean,50,2,87,0.6444355564443556
formal,0.9457054294570543,"[-0.003690485702790656, 0.0025727058710681423]",Body,-0.0005048893088693017,lpips,equal_category_mean,50,2,87,0.7857214278572143
formal,0.137986201379862,"[-0.02231720321093862, -0.0045871405877105816]",Body,-0.013471810778519056,clip,equal_category_mean,50,2,87,0.0091990800919908
formal,0.23622637736226376,"[-0.02281302754406708, -0.002601274857945484]",Body,-0.012552634686915424,dino,equal_category_mean,50,2,87,0.0314968503149685
formal,0.9457054294570543,"[-0.006699362300357279, 0.00600307163415769]",Scene,-0.0002748851015748758,pixel_corr,equal_category_mean,50,2,87,0.9457054294570543
formal,0.7784221577842215,"[-0.004603781494718133, 0.0011281554233311282]",Scene,-0.001651085558836996,ssim,equal_category_mean,50,2,87,0.34036596340365965
formal,0.7784221577842215,"[-0.004082408479607857, 0.0010877015155714904]",Scene,-0.0014734034731581408,lpips,equal_category_mean,50,2,87,0.36326367363263673
formal,0.9457054294570543,"[-0.008098539518343434, 0.006554919333118308]",Scene,-0.0006472366793198632,clip,equal_category_mean,50,2,87,0.8797120287971203
formal,0.9457054294570543,"[-0.015947233541318228, 0.01164040300198348]",Scene,-0.002135414038432411,dino,equal_category_mean,50,2,87,0.7958204179582041
