analysis_status,image_category,masked_roi,max,mean,median,metric,min,num_images,positive_fraction,q25,q75,std
descriptive_only,Body,Body,0.026357253392537434,-0.00912570055325826,-0.006868764758110046,clip,-0.047620912392934166,50,0.4,-0.022425617277622226,0.005673840641975405,0.01971683981722074
descriptive_only,Body,Body,0.0421817642947038,-0.003123073782771826,-0.003890343755483628,dino,-0.05525000902513663,50,0.42,-0.018776509289940197,0.012790449832876524,0.023628411719758075
descriptive_only,Body,Body,0.031502850850423175,0.0007890356381734211,0.000343414147694906,lpips,-0.014434238274892172,50,0.56,-0.002620994051297506,0.0038561036189397177,0.006756680125805889
descriptive_only,Body,Body,0.06441794087489446,0.002211057639370361,0.0018143715957800548,person_dino,-0.07869279483954111,50,0.54,-0.011847555761535962,0.016454380005598065,0.025298146231051963
descriptive_only,Body,Body,0.017300389210383096,0.0015792579849561055,0.0009989728530248006,person_lpips,-0.009206674496332804,50,0.62,-0.00135353555281957,0.0032709387441476187,0.004705989738482896
descriptive_only,Body,Body,0.024916002737901913,-0.00015940252057616697,-0.00015396560320810195,person_region_consistency,-0.031507778518177154,50,0.5,-0.0058888854699134284,0.0073326658136713,0.012723620295560123
descriptive_only,Body,Body,0.059588781505026896,0.00039149767826617297,0.0009565155340179072,pixel_corr,-0.07288399711797174,50,0.52,-0.007308869185063094,0.008013486860582127,0.02026579723846502
descriptive_only,Body,Body,0.03233600117450882,-0.0007627798133351998,0.00053377880871479,ssim,-0.0363822507722936,50,0.58,-0.003923573631842935,0.002833724737867304,0.010020832655158832
descriptive_only,Body,Face,0.047984786828358966,-0.003463545779387156,-0.00517294704914093,clip,-0.04422355890274048,50,0.4,-0.011715559164683025,0.0031692554553349813,0.017048185892877862
descriptive_only,Body,Face,0.11944628370304904,-0.0005267202059427898,0.002196736012895901,dino,-0.09398128887017569,50,0.58,-0.012024827122998736,0.010431258551155526,0.028958338067382187
descriptive_only,Body,Face,0.008826084931691488,-0.0007052679061889648,-0.0006448527177174885,lpips,-0.009372607866923016,50,0.42,-0.003014586369196574,0.0021430055300394693,0.0041544440926504535
descriptive_only,Body,Face,0.05478203694025676,-0.0010585610062504801,-0.0011786339183648426,person_dino,-0.04923861523469289,50,0.44,-0.016629006216923394,0.01190377523501714,0.021823548340758683
descriptive_only,Body,Face,0.005709027250607808,-0.00017886586983998618,-0.0001501182715098063,person_lpips,-0.007232752442359924,50,0.48,-0.0019503871599833168,0.0018903436760107678,0.0029169297988642963
