background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.22412165999412537,0.6938791275024414,Face,30625,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.18134060502052307,0.8035033941268921,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.30572545528411865,0.65931236743927,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.4792592525482178,0.5616002082824707,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.43477705121040344,0.8019472360610962,Face,42025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,781,E3_joint_redundancy,1.0,0.12034901976585388,0.7144741415977478,Face,16641,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.19203688204288483,0.673111081123352,Face,17424,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.19494080543518066,0.8271979093551636,Face,52900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.12196952849626541,0.7174925208091736,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,287,E3_joint_redundancy,1.0,0.12560023367404938,0.8297216296195984,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.2268819808959961,0.7078288197517395,Face,30625,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.23434127867221832,0.7977795600891113,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.28579625487327576,0.6537020206451416,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.4421249032020569,0.5603054165840149,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.37809786200523376,0.7980154752731323,Face,42025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,781,E3_joint_redundancy,0.0,0.10812023282051086,0.6854132413864136,Face,16641,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.2811424136161804,0.6749788522720337,Face,17424,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.21495208144187927,0.8323005437850952,Face,52900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.13456666469573975,0.7240821123123169,Face,33856,Body+Scene,,,,,,12345
