analysis_status,bh_q_e3b,ci95,image_category,masked_roi,metric,num_images,sign_flip_p,target_minus_pure_random
engineering_pilot,,,Scene,Body+Scene,lpips,10,,-0.0021390295028686514
engineering_pilot,,,Scene,Body+Scene,pixel_corr,10,,0.0024296849934592143
engineering_pilot,,,Scene,Body+Scene,scene_class_consistency,10,,0.0
engineering_pilot,,,Scene,Body+Scene,ssim,10,,-0.008060701576287157
engineering_pilot,,,Scene,Face+Body,background_clip,10,,-0.012983778119087219
engineering_pilot,,,Scene,Face+Body,background_dino,10,,-0.007843330241739752
engineering_pilot,,,Scene,Face+Body,clip,10,,-0.015534912943840027
engineering_pilot,,,Scene,Face+Body,dino,10,,-0.009007766880095008
engineering_pilot,,,Scene,Face+Body,lpips,10,,0.0006302618980407713
engineering_pilot,,,Scene,Face+Body,pixel_corr,10,,-0.0012279707660506236
engineering_pilot,,,Scene,Face+Body,scene_class_consistency,10,,0.0
engineering_pilot,,,Scene,Face+Body,ssim,10,,-0.009930042481529608
engineering_pilot,,,Scene,Face+Body+Scene,background_clip,10,,-0.02035859763622284
engineering_pilot,,,Scene,Face+Body+Scene,background_dino,10,,-0.03593260301277042
engineering_pilot,,,Scene,Face+Body+Scene,clip,10,,-0.02264519035816192
engineering_pilot,,,Scene,Face+Body+Scene,dino,10,,-0.035471354704350234
engineering_pilot,,,Scene,Face+Body+Scene,lpips,10,,-0.0034425091743469235
engineering_pilot,,,Scene,Face+Body+Scene,pixel_corr,10,,0.006761580137915751
engineering_pilot,,,Scene,Face+Body+Scene,scene_class_consistency,10,,0.1
engineering_pilot,,,Scene,Face+Body+Scene,ssim,10,,-0.007891532322231882
engineering_pilot,,,Scene,Face+Scene,background_clip,10,,-0.0005853855609893818
engineering_pilot,,,Scene,Face+Scene,background_dino,10,,0.0027584250923246164
engineering_pilot,,,Scene,Face+Scene,clip,10,,-0.0014356744289398214
engineering_pilot,,,Scene,Face+Scene,dino,10,,0.003722337996587159
engineering_pilot,,,Scene,Face+Scene,lpips,10,,-0.0026553583145141613
engineering_pilot,,,Scene,Face+Scene,pixel_corr,10,,0.019026406889223416
engineering_pilot,,,Scene,Face+Scene,scene_class_consistency,10,,0.0
engineering_pilot,,,Scene,Face+Scene,ssim,10,,0.003095114864460438
engineering_pilot,,,Scene,Scene,background_clip,10,,0.01282149076461792
engineering_pilot,,,Scene,Scene,background_dino,10,,0.0060559264477342365
engineering_pilot,,,Scene,Scene,clip,10,,0.012404563426971436
engineering_pilot,,,Scene,Scene,dino,10,,0.007345714187249541
engineering_pilot,,,Scene,Scene,lpips,10,,-0.002873722314834594
engineering_pilot,,,Scene,Scene,pixel_corr,10,,0.008562350361140536
engineering_pilot,,,Scene,Scene,scene_class_consistency,10,,-0.04
engineering_pilot,,,Scene,Scene,ssim,10,,0.0022985593502364877
