analysis_status,image_category,masked_roi,max,mean,median,metric,min,num_images,positive_fraction,q25,q75,std
descriptive_only,Body,Body,0.016053652763366698,-0.015125342607498172,-0.011572879552841187,clip,-0.056462562084198,10,0.3,-0.03553689122200012,0.0032353162765502933,0.024848259182248547
descriptive_only,Body,Body,0.060918252170085896,0.008390473723411559,0.003079910576343536,dino,-0.015562281012535095,10,0.6,-0.004228558950126171,0.012418460659682752,0.0226251417404899
descriptive_only,Body,Body,0.008112263679504395,0.0019671905040740964,0.0023677110671997074,lpips,-0.0042668342590332035,10,0.7,-0.0010648995637893674,0.005363237857818603,0.004352404612541353
descriptive_only,Body,Body,0.033574679493904115,-0.003056214898824692,0.012321630865335465,person_dino,-0.05474176406860352,10,0.6,-0.028563304245471953,0.019145452231168744,0.030297746139858243
descriptive_only,Body,Body,0.003461909294128418,-0.00014340400695800793,-7.518231868743899e-05,person_lpips,-0.005435323715209961,10,0.5,-0.0020721033215522766,0.00248333215713501,0.0029511776355235276
descriptive_only,Body,Body,0.022831687215595104,0.003641406703322007,0.002123656898484108,person_region_consistency,-0.014312629789598486,10,0.6,-0.0015331811819568534,0.011015224172774452,0.010890259199204111
descriptive_only,Body,Body,0.05312384846147087,0.01089114200662122,0.005922462455154663,pixel_corr,-0.0072210887652542025,10,0.6,-0.001267353884995933,0.019277986722758485,0.018252616322070765
descriptive_only,Body,Body,0.0031219943947252693,-0.003033086118662849,-0.0012648305594128244,ssim,-0.021354949272195844,10,0.2,-0.0022840617924500773,-0.00047226241436576353,0.006822890905749394
descriptive_only,Body,Body+Scene,0.0598641037940979,0.01108065366744995,0.006455022096633911,clip,-0.03502325415611267,10,0.6,-0.0058309793472290025,0.03276355713605881,0.029406567838642095
descriptive_only,Body,Body+Scene,0.14613566398620606,0.03500549069605768,0.025710622966289523,dino,-0.033321014046669005,10,0.8,0.01915552206337452,0.051673077535815536,0.04992654932651315
descriptive_only,Body,Body+Scene,0.031130290031433104,0.008273423910140989,0.007135045528411865,lpips,-0.003807353973388671,10,0.8,0.0031573832035064696,0.008471918106079102,0.010534792134762116
descriptive_only,Body,Body+Scene,0.1450646072626114,0.029115624129772182,0.02527681440114975,person_dino,-0.045422697067260744,10,0.7,-0.0036017552018165607,0.05586286559700966,0.053580218593230276
descriptive_only,Body,Body+Scene,0.015582787990570068,-0.0006700906157493591,-0.001133190095424652,person_lpips,-0.014405852556228638,10,0.5,-0.004642894864082337,0.00261993408203125,0.008125640328443652
