bh_q_primary_15_tests,bh_q_within_design,category,ci95,metric,random_causal_loss_mean,sign_flip_p,target_causal_loss_mean,target_minus_random_mean
0.6016842015042104,0.5825958702064897,Face,"[-0.0009741353213702104, 0.0047984401201920605]",pixel_corr,-0.001673060700669542,0.21883905804709763,0.00022220246626154786,0.0018952631669310908
0.7947459769868649,0.927203639818009,Face,"[-0.0010205256131934426, 0.0014272929339644268]",ssim,-5.275212740969857e-05,0.7417629118544072,0.00015843007644073545,0.00021118220385043404
0.6016842015042104,0.5825958702064897,Face,"[-0.0028281875666197353, 0.0006784596287452418]",lpips,-0.0014801436716371829,0.23303834808259588,-0.002576009647266285,-0.001095865975629102
0.9662016899155043,0.9662016899155044,Face,"[-0.007732563006716808, 0.008013031149769685]",clip,0.0013478530419839395,0.9662016899155043,0.001521385467804229,0.00017353242582028995
0.6596942880128721,0.6971318100761628,Face,"[-0.01607454731945066, 0.0070118787793258]",dino,-0.0021390181496269527,0.4182790860456977,-0.007250707118293725,-0.005111688968666772
0.6596942880128721,0.6864656767161642,Body,"[-0.01344813616099517, 0.006426438327158626]",pixel_corr,-0.0011966098581676471,0.472076396180191,-0.004908728831252559,-0.0037121189730849125
0.042747862606869656,0.014249287535623219,Body,"[-0.01148221160761735, -0.0025720574061773513]",ssim,0.0029001317882260775,0.002849857507124644,-0.004261389863617856,-0.0071615216518439336
0.6016842015042104,0.6277186140692965,Body,"[-0.0019570421000321718, 0.007648693553606665]",lpips,0.0019866197109222414,0.2510874456277186,0.004882840315500896,0.0028962206045786538
0.7947459769868649,0.7326633668316584,Body,"[-0.009095669093728066, 0.014488707860310864]",clip,0.005289258122444154,0.7326633668316584,0.0073956688245137535,0.0021064107020696025
0.6864656767161642,0.6864656767161642,Body,"[-0.025355994738529748, 0.013131803024901696]",dino,0.009054248187070095,0.5491725413729314,0.0030199664334456134,-0.0060342817536244795
0.6016842015042104,0.46410179491025444,Scene,"[-0.024966209761988788, 0.003632232908843576]",pixel_corr,0.005416839267557998,0.15799210039498024,-0.0050696063774002655,-0.010486445644958264
0.6596942880128721,0.46410179491025444,Scene,"[-0.010002210579828372, 0.003784074319599368]",ssim,0.004024781932553257,0.37128143592820356,0.0006745679343490322,-0.0033502139982042245
0.6596942880128721,0.4837758112094395,Scene,"[-0.0038248545318841937, 0.00789106226960818]",lpips,0.0028335301876068115,0.4837758112094395,0.0049170726537704455,0.002083542466163635
0.6016842015042104,0.46410179491025444,Scene,"[-0.004069852600991724, 0.01560005156546831]",clip,0.008726176877816518,0.2807859607019649,0.014278764923413593,0.005552588045597078
0.6016842015042104,0.46410179491025444,Scene,"[-0.004271962816702824, 0.020694477153018413]",dino,0.008592607811403773,0.22598870056497175,0.01654495179963609,0.007952343988232314
