category,condition,seed,dataset_idx,pixel_corr,ssim,lpips,clip,dino
Body,Body_equal4_mean,12345,21,0.06726328344984696,0.22643529978201632,0.6563732624053955,0.74181067943573,0.6004143953323364
Body,Body_equal4_mean,12345,38,-0.030451718901927122,0.25510052567530844,0.6697092056274414,0.7367419004440308,0.40463483333587646
Body,Body_equal4_mean,12345,40,0.2399926687879647,0.7021024626947359,0.5815621018409729,0.714974045753479,0.24356709420681
Body,Body_equal4_mean,12345,59,-0.05035686218740471,0.29732586051571375,0.6641104817390442,0.48281359672546387,0.016690265387296677
Body,Body_equal4_mean,12345,88,0.07851392021922664,0.20729966831965538,0.7132881879806519,0.39862141013145447,0.04387287050485611
Body,Body_equal4_mean,12345,116,0.032174452509472255,0.22541239468920646,0.7795630097389221,0.492706298828125,0.3991098999977112
Body,Body_equal4_mean,12345,133,-0.05649371974758346,0.608772927679862,0.6669492125511169,0.401059091091156,0.01544191874563694
Body,Body_equal4_mean,12345,161,0.06363461629483712,0.39791511905728205,0.6446570158004761,0.7981361150741577,0.6712212562561035
Body,Body_equal4_mean,12345,170,-0.057608454027178214,0.2304680146624776,0.6376684904098511,0.6404516100883484,0.013165385462343693
Body,Body_equal4_mean,12345,179,-0.04317677052910826,0.232077337829376,0.8133775591850281,0.5768210887908936,0.10100127011537552
Body,Body_equal4_mean,12345,220,-0.13573046848847373,0.4230573440938107,0.7129471302032471,0.39341849088668823,0.05095329135656357
Body,Body_equal4_mean,12345,233,0.05409829084146805,0.15894328945936875,0.6860598921775818,0.48569244146347046,-0.005507741589099169
Body,Body_equal4_mean,12345,257,-0.054777513001874376,0.23501913331396984,0.6470537185668945,0.47227251529693604,0.015624169260263443
Body,Body_equal4_mean,12345,290,-0.10995467525202486,0.24862126833138426,0.7532298564910889,0.5822446942329407,0.19880643486976624
Body,Body_equal4_mean,12345,331,0.20478419700889786,0.276339312884483,0.7680071592330933,0.45114320516586304,-0.018053725361824036
Body,Body_equal4_mean,12345,339,0.05418409250243061,0.36474199805532015,0.6707133054733276,0.782028079032898,0.686603844165802
Body,Body_equal4_mean,12345,355,-0.013055532769330544,0.5407406744073703,0.7412859201431274,0.6806113123893738,0.6053329706192017
Body,Body_equal4_mean,12345,366,-0.11863508552377963,0.40063908216249455,0.731168270111084,0.6670821905136108,0.20252373814582825
Body,Body_equal4_mean,12345,474,0.22664551342511086,0.2444272277700452,0.6699579954147339,0.4098917543888092,0.11946897208690643
Body,Body_equal4_mean,12345,492,0.19903753232498822,0.40232295856903516,0.6168138384819031,0.6931009292602539,0.44466423988342285
Body,Body_equal4_mean,12345,527,0.3097714763578225,0.2893883089355486,0.752846360206604,0.5404649972915649,0.21196810901165009
Body,Body_equal4_mean,12345,530,-0.1566301919529574,0.4842868146041905,0.6637336611747742,0.6318397521972656,0.3546617031097412
Body,Body_equal4_mean,12345,542,-0.11691480586241484,0.3283642807398246,0.6398527026176453,0.6569870710372925,0.16050729155540466
Body,Body_equal4_mean,12345,574,0.013339362632449643,0.5325907948621564,0.6566734910011292,0.644930362701416,0.650712788105011
Body,Body_equal4_mean,12345,597,-0.09516002114483628,0.28367419316399684,0.7261590957641602,0.5881763100624084,0.0775461196899414
Body,Body_equal4_mean,12345,619,0.012593976041480413,0.21499753403079266,0.702849268913269,0.7754663228988647,0.6755590438842773
Body,Body_equal4_mean,12345,656,0.08665889952290369,0.20869420154575913,0.6709768176078796,0.5019680857658386,0.07039342075586319
Body,Body_equal4_mean,12345,661,-0.14911341940214387,0.3033882031959942,0.6860184073448181,0.6487137675285339,0.38086622953414917
Body,Body_equal4_mean,12345,664,0.06465001734082493,0.4801812882478237,0.7378222942352295,0.8375418782234192,0.5610381960868835
Body,Body_equal4_mean,12345,698,-0.12845011350244084,0.2714117221966189,0.7553083300590515,0.5560500621795654,0.07855796068906784
Body,Body_equal4_mean,12345,700,0.19249941054608896,0.2588896770797983,0.7145578861236572,0.4537712037563324,0.19688811898231506
Body,Body_equal4_mean,12345,716,-0.09477098139704801,0.21917844906677908,0.6728702187538147,0.4675872027873993,0.01209305226802826
Body,Body_equal4_mean,12345,765,-0.033164989378976426,0.31490450634659667,0.7138510942459106,0.6012725830078125,0.22851142287254333
Body,Body_equal4_mean,12345,771,0.036054267587042645,0.3888210969757558,0.7014548778533936,0.686651349067688,0.3965035378932953
Body,Body_equal4_mean,12345,786,0.02238774129323167,0.07981105174606692,0.8299063444137573,0.6520340442657471,0.3108014166355133
Body,Body_equal4_mean,12345,806,-0.049363697358964745,0.21232204164936433,0.6337862014770508,0.5365809202194214,0.1232500821352005
Body,Body_equal4_mean,12345,813,0.09854985833392323,0.1990283780117726,0.7122007608413696,0.5127460956573486,0.0688754990696907
Body,Body_equal4_mean,12345,816,-0.09300477765337536,0.20170906037120465,0.6813020706176758,0.3750576376914978,0.14178496599197388
Body,Body_equal4_mean,12345,822,0.329065774644267,0.3532859566788318,0.6339771747589111,0.4003863036632538,0.05594836175441742
Body,Body_equal4_mean,12345,826,0.4742002747980817,0.39484351823769753,0.6637155413627625,0.4019572138786316,0.054552871733903885
Body,Body_equal4_mean,12345,847,-0.027494505431413362,0.31540386096794926,0.6759846210479736,0.6489171981811523,0.18322917819023132
Body,Body_equal4_mean,12345,876,-0.08940878544250237,0.12100815872863227,0.7329362630844116,0.3883156478404999,-0.02436816692352295
Body,Body_equal4_mean,12345,891,-0.14160345466983887,0.07973362937838886,0.7451934814453125,0.4922487735748291,0.012466013431549072
Body,Body_equal4_mean,12345,919,-0.048200323676275865,0.15531371582134798,0.7380763292312622,0.5951551198959351,0.22772470116615295
Body,Body_equal4_mean,12345,931,0.08606515826263661,0.2928784028371588,0.6711759567260742,0.7315797209739685,0.7357639670372009
Body,Body_equal4_mean,12345,933,0.14356155221876993,0.35573959024568513,0.6967518329620361,0.61329185962677,0.4076646566390991
Body,Body_equal4_mean,12345,941,-0.0548646255670502,0.34014733075193987,0.6664563417434692,0.5048085451126099,0.1153838112950325
Body,Body_equal4_mean,12345,960,0.0455190382610722,0.32626505793097244,0.726578950881958,0.7257516384124756,0.3346186578273773
Body,Body_equal4_mean,12345,968,0.04960542477140584,0.11935814830009707,0.6783639192581177,0.657855749130249,0.16925914585590363
Body,Body_equal4_mean,12345,989,0.08499072494519394,0.5245588651753355,0.6867772936820984,0.8478989005088806,0.8142197132110596
Body,Body_full_mean,12345,21,0.11162379239987143,0.25918816542318035,0.6859867572784424,0.7211617827415466,0.668247640132904
Body,Body_full_mean,12345,38,0.006092267952694218,0.25072205877438664,0.6681109666824341,0.644295871257782,0.4191865921020508
Body,Body_full_mean,12345,40,0.2637233997062879,0.7234289118856273,0.5944278240203857,0.8215438723564148,0.5898036956787109
Body,Body_full_mean,12345,59,-0.03830565962935789,0.3072691170010263,0.6514731049537659,0.4736761450767517,0.04862440750002861
Body,Body_full_mean,12345,88,0.0902308175212126,0.35669357496748216,0.7660143971443176,0.42235711216926575,0.09295403957366943
Body,Body_full_mean,12345,116,0.06193343074457666,0.2501587508332623,0.8249343633651733,0.5363543033599854,0.4574955105781555
Body,Body_full_mean,12345,133,-0.06763420203861972,0.6168563345304382,0.6567020416259766,0.4758944511413574,0.021283861249685287
Body,Body_full_mean,12345,161,0.010094067464452605,0.4151312439760756,0.6427301168441772,0.6793855428695679,0.4846550226211548
Body,Body_full_mean,12345,170,-0.08186470387665142,0.21649323316180424,0.6148591637611389,0.5827662944793701,0.10666883736848831
Body,Body_full_mean,12345,179,-0.04923045614099127,0.3035231107184578,0.797843337059021,0.6282224655151367,0.15930108726024628
Body,Body_full_mean,12345,220,-0.004994736509251379,0.44377893871742424,0.6744117140769958,0.428732305765152,0.25586867332458496
Body,Body_full_mean,12345,233,0.17034276617705763,0.1858158418089453,0.734451949596405,0.6068335771560669,0.2198982536792755
Body,Body_full_mean,12345,257,-0.06059593761341601,0.22912510818719523,0.6567296981811523,0.46950763463974,0.025204794481396675
Body,Body_full_mean,12345,290,-0.05053459744576109,0.2811032159401391,0.7473278045654297,0.5079205632209778,0.19520877301692963
Body,Body_full_mean,12345,331,0.21364334289252035,0.28211322099919794,0.7683044075965881,0.4868869185447693,-0.0014944979920983315
Body,Body_full_mean,12345,339,0.2413930349780425,0.43048884337529847,0.7430543899536133,0.6614620685577393,0.30492812395095825
Body,Body_full_mean,12345,355,-0.11988902594333453,0.5449049233799718,0.6942749619483948,0.6572476625442505,0.5158525109291077
Body,Body_full_mean,12345,366,-0.1000922159941334,0.4037997292583373,0.7215710282325745,0.5114737749099731,0.12927940487861633
Body,Body_full_mean,12345,474,0.27143296043858445,0.22968557759012884,0.6714175939559937,0.4315696060657501,0.10437025129795074
Body,Body_full_mean,12345,492,0.09130724136633676,0.3953273414416472,0.6228512525558472,0.7362141609191895,0.2944117486476898
Body,Body_full_mean,12345,527,0.21225153978041417,0.1817578587201762,0.7929434776306152,0.3935270309448242,0.07269026339054108
Body,Body_full_mean,12345,530,-0.061654549734094365,0.5098782344107975,0.6521307229995728,0.5515241026878357,0.1489098221063614
Body,Body_full_mean,12345,542,-0.08428166724783268,0.29704787617169714,0.6654167771339417,0.6024212837219238,0.2978271245956421
Body,Body_full_mean,12345,574,-0.16049504806253426,0.665711552280686,0.7716768980026245,0.28478723764419556,0.010751189664006233
Body,Body_full_mean,12345,597,-0.09648075396047195,0.26860136294461223,0.7286827564239502,0.566387414932251,0.13969585299491882
Body,Body_full_mean,12345,619,0.015335314711580368,0.20476223451996498,0.6840043663978577,0.672924280166626,0.6110892295837402
Body,Body_full_mean,12345,656,0.06186372943972794,0.16502801611979967,0.6783013939857483,0.48088645935058594,0.07693749666213989
Body,Body_full_mean,12345,661,-0.12616204999775896,0.33017493128849656,0.6751861572265625,0.644707202911377,0.461527019739151
Body,Body_full_mean,12345,664,0.048812364437856956,0.47734278138078917,0.7147126793861389,0.8650643229484558,0.7058942914009094
Body,Body_full_mean,12345,698,-0.09169988915950462,0.28207353430990745,0.7187795042991638,0.5690901279449463,-0.001238417811691761
Body,Body_full_mean,12345,700,0.18119900389763177,0.23219745065726702,0.7926734685897827,0.3954417109489441,0.3064122796058655
Body,Body_full_mean,12345,716,-0.006001097942973961,0.20631684937080536,0.6688812971115112,0.4567906856536865,-0.035521481186151505
Body,Body_full_mean,12345,765,0.14649808453248772,0.37096424049450744,0.7333816289901733,0.6052559614181519,0.1275060474872589
Body,Body_full_mean,12345,771,0.028512415313315626,0.3873400838620058,0.7098482251167297,0.6934137344360352,0.3537776470184326
Body,Body_full_mean,12345,786,-0.005897726500838409,0.07854370457589653,0.8681366443634033,0.6091156005859375,0.3122299015522003
Body,Body_full_mean,12345,806,-0.051757038662454,0.2095687985934112,0.6324095129966736,0.595635712146759,0.40238580107688904
Body,Body_full_mean,12345,813,0.12198462074571519,0.19453017412383591,0.7084483504295349,0.4645161032676697,0.06538454443216324
Body,Body_full_mean,12345,816,-0.11753838129922242,0.16262769003646765,0.6806962490081787,0.4154389500617981,0.15407562255859375
Body,Body_full_mean,12345,822,0.31504162848253847,0.35174264094256225,0.6468640565872192,0.37665295600891113,0.06799598038196564
Body,Body_full_mean,12345,826,0.5082723707876367,0.4024615755114183,0.684817910194397,0.430594265460968,0.06563826650381088
Body,Body_full_mean,12345,847,-0.014277405135816525,0.29746438880439446,0.6730953454971313,0.62660151720047,0.09479448199272156
Body,Body_full_mean,12345,876,-0.07477173272663667,0.1223027627762219,0.7631947994232178,0.5366028547286987,-0.0010386911453679204
Body,Body_full_mean,12345,891,-0.12376068425977309,0.10608889504424175,0.7065579891204834,0.5373243689537048,0.15443488955497742
Body,Body_full_mean,12345,919,-0.065385055028682,0.14254863788445876,0.7377343773841858,0.5233399271965027,0.24184589087963104
Body,Body_full_mean,12345,931,0.09986474461241357,0.2901570741704382,0.6783467531204224,0.7718694806098938,0.7384332418441772
Body,Body_full_mean,12345,933,0.22925968223056195,0.3769044105208999,0.6757140159606934,0.6634057760238647,0.518181562423706
Body,Body_full_mean,12345,941,-0.045042485789057306,0.24900036939822434,0.6361236572265625,0.5438658595085144,0.21896712481975555
Body,Body_full_mean,12345,960,0.03553954934560212,0.4042492460946024,0.7900066375732422,0.4400235116481781,0.06671072542667389
Body,Body_full_mean,12345,968,0.03233332161262858,0.13213016995099763,0.6932475566864014,0.6288638114929199,0.26078999042510986
Body,Body_full_mean,12345,989,0.10309817692682034,0.5315404804207414,0.6980266571044922,0.8229437470436096,0.7090268731117249
Body,Body_random_equal4_01_mean,12345,21,0.06371703805553294,0.22824382978244545,0.6569162011146545,0.7452967166900635,0.5991707444190979
Body,Body_random_equal4_01_mean,12345,38,-0.012265433828332789,0.25239312106263967,0.6716424822807312,0.7557300925254822,0.4740840792655945
Body,Body_random_equal4_01_mean,12345,40,0.25005508732664894,0.7060439805565367,0.5705804228782654,0.7380838990211487,0.2220391035079956
Body,Body_random_equal4_01_mean,12345,59,0.02245739062661998,0.3020821548261916,0.6578719019889832,0.44274091720581055,0.012207729741930962
Body,Body_random_equal4_01_mean,12345,88,0.0804811718171428,0.24578538107034806,0.7365634441375732,0.4935450553894043,0.023868804797530174
Body,Body_random_equal4_01_mean,12345,116,0.07126416205305577,0.27272229854021285,0.7522462606430054,0.4871903955936432,0.34985536336898804
Body,Body_random_equal4_01_mean,12345,133,-0.061587588308893666,0.5941946543520441,0.6806325912475586,0.46418890357017517,0.02619379758834839
Body,Body_random_equal4_01_mean,12345,161,0.06723198031494196,0.39902904706991404,0.628764271736145,0.7447181940078735,0.6687566637992859
Body,Body_random_equal4_01_mean,12345,170,-0.06111474637717399,0.22955149389113624,0.6379820108413696,0.6591154336929321,0.023058317601680756
Body,Body_random_equal4_01_mean,12345,179,0.05466211685688821,0.2406893051058942,0.8245666027069092,0.5542495846748352,0.05633480101823807
Body,Body_random_equal4_01_mean,12345,220,-0.10979935688906489,0.41246056251004787,0.7006626129150391,0.39286717772483826,0.11425220221281052
Body,Body_random_equal4_01_mean,12345,233,0.04588224391221382,0.15678031767402492,0.6849279403686523,0.48245102167129517,-0.00894148088991642
