background_clip,background_dino,clip,condition,control_type,dataset_idx,dino,experiment,face_detection_success,face_detector_backend,face_dino,face_lpips,image_category,local_region_pixels,lpips,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,pixel_corr,scene_class_consistency,seed,ssim
,,0.7053654789924622,mask_Body+Scene_mean,target_roi,1,0.38594549894332886,E3_joint_redundancy,0.0,opencv_haar_e1,0.2747665047645569,0.7581090331077576,Face,4356,0.7155972719192505,Body+Scene,,,,,-0.01769877940766625,,12345,0.2189099761135194
,,0.3305189609527588,mask_Body+Scene_mean,target_roi,16,0.10538482666015625,E3_joint_redundancy,1.0,opencv_haar_e1,0.23626115918159485,0.756741464138031,Face,12544,0.689001202583313,Body+Scene,,,,,0.045265068401209384,,12345,0.19437212784664096
,,0.7160707712173462,mask_Body+Scene_mean,target_roi,20,0.4097633361816406,E3_joint_redundancy,0.0,opencv_haar_e1,0.454363077878952,0.7646390199661255,Face,7396,0.6323052048683167,Body+Scene,,,,,-0.06789835349529286,,12345,0.24515715319515846
,,0.4365677535533905,mask_Body+Scene_mean,target_roi,51,0.05202048644423485,E3_joint_redundancy,0.0,opencv_haar_e1,0.055636122822761536,0.8992204070091248,Face,3364,0.7693408727645874,Body+Scene,,,,,0.014800751220189725,,12345,0.26449458005542054
,,0.5708006620407104,mask_Body+Scene_mean,target_roi,77,0.03335610404610634,E3_joint_redundancy,1.0,opencv_haar_e1,0.1734195053577423,0.7032222747802734,Face,8649,0.7140480875968933,Body+Scene,,,,,-0.09040692350782792,,12345,0.22573976057473316
,,0.5991981029510498,mask_Body+Scene_mean,target_roi,135,0.3738193213939667,E3_joint_redundancy,1.0,opencv_haar_e1,0.4484917223453522,0.6875615119934082,Face,14400,0.670687735080719,Body+Scene,,,,,0.2658610640157602,,12345,0.38642422251202035
,,0.4526459872722626,mask_Body+Scene_mean,target_roi,158,0.158751979470253,E3_joint_redundancy,1.0,opencv_haar_e1,0.13715626299381256,0.6924606561660767,Face,33856,0.7658184766769409,Body+Scene,,,,,-0.1307530501467028,,12345,0.22412905902086597
,,0.6825270056724548,mask_Body+Scene_mean,target_roi,177,0.24582521617412567,E3_joint_redundancy,1.0,opencv_haar_e1,0.25896787643432617,0.896126925945282,Face,15376,0.6093380451202393,Body+Scene,,,,,0.28169661719984257,,12345,0.3048907383420804
,,0.49222424626350403,mask_Body+Scene_mean,target_roi,188,-0.007380632683634758,E3_joint_redundancy,0.0,opencv_haar_e1,0.2080172598361969,0.9648402333259583,Face,9409,0.6944131255149841,Body+Scene,,,,,0.18905149721258468,,12345,0.4884397455572698
,,0.5276448130607605,mask_Body+Scene_mean,target_roi,218,0.3621216118335724,E3_joint_redundancy,1.0,opencv_haar_e1,0.2815615236759186,0.6740710735321045,Face,4489,0.6926958560943604,Body+Scene,,,,,0.12742125341761396,,12345,0.13274442912481926
,,0.4332844614982605,mask_Body+Scene_mean,target_roi,287,0.10754457861185074,E3_joint_redundancy,0.0,opencv_haar_e1,0.03144918382167816,0.8120236396789551,Face,32761,0.7086143493652344,Body+Scene,,,,,0.06861572391359556,,12345,0.33908138361196893
,,0.5338056683540344,mask_Body+Scene_mean,target_roi,292,0.24242156744003296,E3_joint_redundancy,1.0,opencv_haar_e1,0.35849258303642273,0.7911538481712341,Face,7569,0.6851541996002197,Body+Scene,,,,,0.17042942042350387,,12345,0.3372496933399838
,,0.22835759818553925,mask_Body+Scene_mean,target_roi,295,0.02898477204144001,E3_joint_redundancy,1.0,opencv_haar_e1,0.08208052068948746,0.87156742811203,Face,12100,0.7383785843849182,Body+Scene,,,,,-0.08177225751452834,,12345,0.4853484147636326
,,0.499220073223114,mask_Body+Scene_mean,target_roi,340,0.26611366868019104,E3_joint_redundancy,1.0,opencv_haar_e1,0.3974814713001251,0.8136847019195557,Face,7569,0.6674057841300964,Body+Scene,,,,,-0.0545754316035434,,12345,0.2202501331061357
,,0.5516380071640015,mask_Body+Scene_mean,target_roi,375,0.06284290552139282,E3_joint_redundancy,0.0,opencv_haar_e1,0.15359045565128326,0.9068052768707275,Face,4900,0.7234203219413757,Body+Scene,,,,,0.10168399190794476,,12345,0.12175489338677128
,,0.6702941060066223,mask_Body+Scene_mean,target_roi,384,0.3332178294658661,E3_joint_redundancy,0.0,opencv_haar_e1,0.19100993871688843,0.9008949995040894,Face,8281,0.789374589920044,Body+Scene,,,,,0.19281805609210573,,12345,0.3265601438624927
,,0.5751878619194031,mask_Body+Scene_mean,target_roi,415,0.15037666261196136,E3_joint_redundancy,0.0,opencv_haar_e1,0.16007766127586365,0.7049198746681213,Face,30625,0.6544249057769775,Body+Scene,,,,,-0.07223602830782191,,12345,0.534462680411817
,,0.550703227519989,mask_Body+Scene_mean,target_roi,434,0.24411320686340332,E3_joint_redundancy,0.0,opencv_haar_e1,0.6036717295646667,0.9304371476173401,Face,14161,0.7159391045570374,Body+Scene,,,,,0.20052949638140377,,12345,0.27724697427947503
,,0.38620617985725403,mask_Body+Scene_mean,target_roi,465,0.16138476133346558,E3_joint_redundancy,1.0,opencv_haar_e1,0.3444928526878357,0.7731443643569946,Face,24649,0.6991329789161682,Body+Scene,,,,,-0.1629191985206475,,12345,0.24087970019108046
,,0.8086878061294556,mask_Body+Scene_mean,target_roi,498,0.7793342471122742,E3_joint_redundancy,0.0,opencv_haar_e1,0.45284152030944824,0.8344306349754333,Face,9604,0.729999303817749,Body+Scene,,,,,0.019066407724538645,,12345,0.4343155204363802
,,0.5265192985534668,mask_Body+Scene_mean,target_roi,507,0.16944165527820587,E3_joint_redundancy,1.0,opencv_haar_e1,0.3135174512863159,0.6742181777954102,Face,13689,0.6595021486282349,Body+Scene,,,,,0.19764997323040936,,12345,0.41284316472265553
