background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,51,E3_joint_redundancy,0.0,0.05414341390132904,0.8942225575447083,Face,3364,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,77,E3_joint_redundancy,0.0,0.178965762257576,0.6889263391494751,Face,8649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,135,E3_joint_redundancy,1.0,0.2777280807495117,0.6081061959266663,Face,14400,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.08959585428237915,0.7219982147216797,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,177,E3_joint_redundancy,1.0,0.2539108693599701,0.8790315389633179,Face,15376,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,188,E3_joint_redundancy,0.0,0.22281746566295624,0.9694128036499023,Face,9409,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,218,E3_joint_redundancy,1.0,0.1795922964811325,0.6818007826805115,Face,4489,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,287,E3_joint_redundancy,1.0,0.12732955813407898,0.8327215313911438,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,292,E3_joint_redundancy,0.0,0.2164623886346817,0.7961101531982422,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,295,E3_joint_redundancy,0.0,0.3132060170173645,0.8920395374298096,Face,12100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,340,E3_joint_redundancy,1.0,0.32872477173805237,0.8067180514335632,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,375,E3_joint_redundancy,0.0,0.0730317085981369,0.9421966075897217,Face,4900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,384,E3_joint_redundancy,0.0,0.21295525133609772,0.9026771187782288,Face,8281,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.21454450488090515,0.698574423789978,Face,30625,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,434,E3_joint_redundancy,0.0,0.6000043153762817,0.9161840677261353,Face,14161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.24944858253002167,0.7993270754814148,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,498,E3_joint_redundancy,0.0,0.3476755917072296,0.766396701335907,Face,9604,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,507,E3_joint_redundancy,1.0,0.2731168866157532,0.6611906290054321,Face,13689,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.2771041989326477,0.6576921343803406,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,561,E3_joint_redundancy,1.0,0.23985107243061066,0.70854252576828,Face,8464,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,588,E3_joint_redundancy,1.0,0.20354075729846954,0.7267837524414062,Face,4225,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,606,E3_joint_redundancy,1.0,0.18026341497898102,0.6685878038406372,Face,10000,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.4391513764858246,0.558044970035553,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,708,E3_joint_redundancy,1.0,0.14432770013809204,0.7350173592567444,Face,8100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.38021302223205566,0.7966274619102478,Face,42025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,762,E3_joint_redundancy,0.0,0.2750869393348694,0.8187834620475769,Face,3249,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,781,E3_joint_redundancy,0.0,0.02820689044892788,0.6976041197776794,Face,16641,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.2907141447067261,0.6731657981872559,Face,17424,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,817,E3_joint_redundancy,0.0,0.313922256231308,1.013895869255066,Face,3025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,820,E3_joint_redundancy,0.0,0.2802700102329254,0.6276519298553467,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,838,E3_joint_redundancy,0.0,0.15376654267311096,0.7270033359527588,Face,11236,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,877,E3_joint_redundancy,1.0,0.4441109895706177,0.7786675095558167,Face,3481,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,887,E3_joint_redundancy,1.0,0.1656397432088852,0.7248630523681641,Face,8100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.2090497612953186,0.8353604674339294,Face,52900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,1,E3_joint_redundancy,0.0,0.30345192551612854,0.7699854969978333,Face,4356,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,16,E3_joint_redundancy,1.0,0.20459459722042084,0.7885749340057373,Face,12544,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,20,E3_joint_redundancy,0.0,0.5705757141113281,0.7436412572860718,Face,7396,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,51,E3_joint_redundancy,0.0,0.07318456470966339,0.8883979916572571,Face,3364,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,77,E3_joint_redundancy,1.0,0.18181255459785461,0.6560121178627014,Face,8649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,135,E3_joint_redundancy,1.0,0.23072168231010437,0.608411967754364,Face,14400,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.10858169198036194,0.7227019667625427,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,177,E3_joint_redundancy,1.0,0.3305100202560425,0.8874789476394653,Face,15376,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,188,E3_joint_redundancy,0.0,0.16994136571884155,0.9675925970077515,Face,9409,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,218,E3_joint_redundancy,1.0,0.21695539355278015,0.6879584193229675,Face,4489,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,287,E3_joint_redundancy,0.0,0.141463965177536,0.8295783996582031,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,292,E3_joint_redundancy,1.0,0.2571365237236023,0.7683210372924805,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,295,E3_joint_redundancy,1.0,0.20332202315330505,0.9056011438369751,Face,12100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,340,E3_joint_redundancy,1.0,0.34743988513946533,0.8036975860595703,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,375,E3_joint_redundancy,0.0,0.08606553077697754,0.9271716475486755,Face,4900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,384,E3_joint_redundancy,0.0,0.19297070801258087,0.8979803323745728,Face,8281,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.21381427347660065,0.7098596692085266,Face,30625,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,434,E3_joint_redundancy,0.0,0.6121184229850769,0.9251406192779541,Face,14161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,465,E3_joint_redundancy,0.0,0.27450597286224365,0.7924677729606628,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,498,E3_joint_redundancy,0.0,0.35716602206230164,0.7664123773574829,Face,9604,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,507,E3_joint_redundancy,1.0,0.3096228539943695,0.6780602931976318,Face,13689,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.27481865882873535,0.6562975645065308,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,561,E3_joint_redundancy,1.0,0.2303546667098999,0.7073583602905273,Face,8464,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,588,E3_joint_redundancy,1.0,0.12965871393680573,0.722682535648346,Face,4225,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,606,E3_joint_redundancy,1.0,0.17480477690696716,0.6690480709075928,Face,10000,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.44458505511283875,0.5612505674362183,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,708,E3_joint_redundancy,0.0,0.14905548095703125,0.7352002859115601,Face,8100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.3940018117427826,0.7999083995819092,Face,42025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,762,E3_joint_redundancy,0.0,0.27018722891807556,0.8224307298660278,Face,3249,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,781,E3_joint_redundancy,1.0,0.01871425472199917,0.6875620484352112,Face,16641,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.29159343242645264,0.6769386529922485,Face,17424,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,817,E3_joint_redundancy,0.0,0.2524138391017914,1.0188044309616089,Face,3025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,820,E3_joint_redundancy,1.0,0.20727813243865967,0.6212789416313171,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,838,E3_joint_redundancy,0.0,0.14964446425437927,0.7260115146636963,Face,11236,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,877,E3_joint_redundancy,1.0,0.3910573422908783,0.7921142578125,Face,3481,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,887,E3_joint_redundancy,0.0,0.18255344033241272,0.7159000635147095,Face,8100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.20729568600654602,0.8325122594833374,Face,52900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,1,E3_joint_redundancy,1.0,0.2787764072418213,0.7603586912155151,Face,4356,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,16,E3_joint_redundancy,1.0,0.21965599060058594,0.777755618095398,Face,12544,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,20,E3_joint_redundancy,0.0,0.5335668921470642,0.7457612156867981,Face,7396,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,51,E3_joint_redundancy,0.0,0.1083621084690094,0.8822920918464661,Face,3364,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,77,E3_joint_redundancy,0.0,0.15756942331790924,0.7156090140342712,Face,8649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,135,E3_joint_redundancy,1.0,0.5055558085441589,0.6242097616195679,Face,14400,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.14238262176513672,0.7271323204040527,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,177,E3_joint_redundancy,1.0,0.3598712384700775,0.902458667755127,Face,15376,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,188,E3_joint_redundancy,0.0,0.21188314259052277,0.9624354839324951,Face,9409,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,218,E3_joint_redundancy,1.0,0.2010025680065155,0.6780613660812378,Face,4489,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,287,E3_joint_redundancy,0.0,0.07491482049226761,0.8311785459518433,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,292,E3_joint_redundancy,1.0,0.27584323287010193,0.7729555368423462,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,295,E3_joint_redundancy,1.0,0.2571989893913269,0.8866241574287415,Face,12100,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,340,E3_joint_redundancy,1.0,0.35495296120643616,0.798995316028595,Face,7569,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,375,E3_joint_redundancy,0.0,0.09063047170639038,0.9454059600830078,Face,4900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,384,E3_joint_redundancy,0.0,0.20159126818180084,0.8965098261833191,Face,8281,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.22412165999412537,0.6938791275024414,Face,30625,Body+Scene,,,,,,12345
