analysis_status,bh_q_e3b,ci95,image_category,masked_roi,metric,metric_family,num_images,sign_flip_p,target_minus_pure_random
formal,0.09915675099156751,"[-0.013882221371928849, -0.0020188211560249335]",Body,Body,clip,global,50,0.0112988701129887,-0.007836557368437448
formal,0.9011055416197511,"[-0.009231425948735947, 0.006403967301764835]",Body,Body,dino,global,50,0.7653234676532347,-0.0011895788684487343
formal,0.29900235782873325,"[-0.00027631449898084, 0.003344061710437138]",Body,Body,lpips,global,50,0.1136886311368863,0.001502851963043213
formal,0.470407504704075,"[-0.0029220813389557107, 0.012468066238363579]",Body,Body,person_dino,local,50,0.22997700229977003,0.0048480130794147655
formal,0.15223477652234776,"[0.0003749269117911657, 0.003077482950190702]",Body,Body,person_lpips,local,50,0.0202979702029797,0.0016656464934349058
formal,0.27209043801502203,"[-0.0005326024864513266, 0.0073951525257704535]",Body,Body,person_region_consistency,local,50,0.0988901109889011,0.003535018657709119
formal,0.24966253374662536,"[-0.00024854852493631004, 0.010132365064362329]",Body,Body,pixel_corr,global,50,0.0756924307569243,0.004890035778253304
formal,0.8560584619504152,"[-0.0021651556404697035, 0.0033438345902658574]",Body,Body,ssim,global,50,0.6712328767123288,0.0006257816710908494
formal,0.4118159612610167,"[-0.002479941054681937, 0.016011781447132428]",Body,Body+Scene,clip,global,50,0.18948105189481051,0.006438123285770417
formal,0.134986501349865,"[0.0029811885624464315, 0.033853107407875345]",Body,Body+Scene,dino,global,50,0.0197980201979802,0.017461451958088823
formal,0.6407692564076927,"[-0.002103891793886821, 0.005958029017845788]",Body,Body+Scene,lpips,global,50,0.38446155384461556,0.001815299908320109
formal,0.27209043801502203,"[-0.0010987046897954606, 0.020775490616774188]",Body,Body+Scene,person_dino,local,50,0.08049195080491951,0.009948339487425984
formal,0.9754605934755363,"[-0.0020434365630149836, 0.001871352298557758]",Body,Body+Scene,person_lpips,local,50,0.9307069293070693,-8.672231435775734e-05
formal,0.45145485451454853,"[-0.002532657831657487, 0.012883913050203298]",Body,Body+Scene,person_region_consistency,local,50,0.2106789321067893,0.005133716015642358
formal,0.054369563043695626,"[0.0037102818026036716, 0.018425005809937497]",Body,Body+Scene,pixel_corr,global,50,0.0028997100289971,0.010373410766866266
formal,0.29900235782873325,"[-0.0005498780704386365, 0.0068710605084901]",Body,Body+Scene,ssim,global,50,0.11878812118788121,0.003071985473671456
formal,0.017498250174982504,"[-0.020678485330939293, -0.006615544518828392]",Body,Face+Body,clip,global,50,0.00029997000299970003,-0.013263809442520145
formal,0.07284985787135571,"[-0.02587956840755263, -0.004982929783849983]",Body,Face+Body,dino,global,50,0.006799320067993201,-0.014861441731142502
formal,0.5097567166360287,"[-0.005519103095928828, 0.001611810316642125]",Body,Face+Body,lpips,global,50,0.26507349265073493,-0.002010061105092366
formal,0.27209043801502203,"[-0.016702091636974364, 0.0009411677663524778]",Body,Face+Body,person_dino,local,50,0.10108989101089891,-0.007804334166149298
formal,0.817466640432731,"[-0.0011401821513970691, 0.002216694003840287]",Body,Face+Body,person_lpips,local,50,0.5631436856314369,0.0004964266618092855
formal,0.9856014398560143,"[-0.004820832679977983, 0.004535891597813705]",Body,Face+Body,person_region_consistency,local,50,0.9856014398560144,-5.2247401629151936e-05
formal,0.9669033096690332,"[-0.006703198979767234, 0.006283378775947798]",Body,Face+Body,pixel_corr,global,50,0.9669033096690332,0.00014517340539160225
formal,0.8822504846289564,"[-0.0032880695853475745, 0.002211543868775887]",Body,Face+Body,ssim,global,50,0.7163283671632836,-0.000525277051703418
formal,0.9011055416197511,"[-0.007238342392444609, 0.00995286539296309]",Body,Face+Body+Scene,clip,global,50,0.8018198180181981,0.0011413185199101769
formal,0.1724827517248275,"[0.002087405796473225, 0.02529882019772194]",Body,Face+Body+Scene,dino,global,50,0.03189681031896811,0.013279388578608633
formal,0.9669033096690332,"[-0.003965643797318142, 0.00364373817841212]",Body,Face+Body+Scene,lpips,global,50,0.9565043495650435,-0.00010338823000589987
formal,0.27209043801502203,"[-0.0014186378565927344, 0.01868386230136578]",Body,Face+Body+Scene,person_dino,local,50,0.10278972102789721,0.008775457980732124
formal,0.9284466290213084,"[-0.002134939060608546, 0.0015306177829702687]",Body,Face+Body+Scene,person_lpips,local,50,0.784021597840216,-0.0002627280751864114
formal,0.5868978319559348,"[-0.003482298050524151, 0.012787500670934841]",Body,Face+Body+Scene,person_region_consistency,local,50,0.2999700029997,0.004449544155157422
formal,0.24966253374662536,"[0.0002660454654416825, 0.017906584860951143]",Body,Face+Body+Scene,pixel_corr,global,50,0.0648935106489351,0.008552262922358597
formal,0.9011055416197511,"[-0.003672232763271269, 0.004771554469331974]",Body,Face+Body+Scene,ssim,global,50,0.8208179182081792,0.0004926457827004455
formal,0.017498250174982504,"[0.006114291962981223, 0.02217876633107662]",Body,Face+Scene,clip,global,50,0.0006999300069993001,0.01351128129164378
formal,0.19732401759824017,"[0.0017324508634783949, 0.03328892056471667]",Body,Face+Scene,dino,global,50,0.0420957904209579,0.015665791373389464
formal,0.940179954607279,"[-0.0032223592440287266, 0.003688566754261653]",Body,Face+Scene,lpips,global,50,0.9151084891510849,0.00019773952166239432
formal,0.16069821589269642,"[0.001693725825535755, 0.020325382856031245]",Body,Face+Scene,person_dino,local,50,0.024997500249975,0.010861875901619595
formal,0.9754605934755363,"[-0.0018336251432696977, 0.0015395509998003627]",Body,Face+Scene,person_lpips,local,50,0.8705129487051295,-0.00014619727929433168
formal,0.7637986201379862,"[-0.008182611798303253, 0.003731785775579674]",Body,Face+Scene,person_region_consistency,local,50,0.45885411458854114,-0.002288080845291736
formal,0.28317168283171684,"[-0.00019581997244226464, 0.013420491075230315]",Body,Face+Scene,pixel_corr,global,50,0.0943905609439056,0.005731532438353457
formal,0.29900235782873325,"[-0.0003875184469931861, 0.004403512734405435]",Body,Face+Scene,ssim,global,50,0.11838816118388161,0.0019591076782459606
formal,0.8560584619504152,"[-0.011613597834969427, 0.00821295001552448]",Face,Body+Scene,clip,global,37,0.6634336566343366,-0.002211474808486733
formal,0.7422695230476952,"[-0.008141844341015395, 0.01769801027151999]",Face,Body+Scene,dino,global,37,0.46835316468353166,0.004920298830178138
formal,0.9663649019713413,"[-0.061261261261261246, 0.07747747747747748]",Face,Body+Scene,face_detection_success,local,37,0.8375162483751625,0.009009009009009004
