analysis_status,image_category,masked_roi,max,mean,median,metric,min,num_images,positive_fraction,q25,q75,std
descriptive_only,Body,Body,0.029154499371846516,-0.007836557368437448,-0.006770971417427063,clip,-0.05532849629720052,50,0.44,-0.020542374253273012,0.00873769223690033,0.021106178788333683
descriptive_only,Body,Body,0.052209840963284175,-0.0011895788684487343,-0.0003041258702675501,dino,-0.09754371494054793,50,0.48,-0.01995850677291552,0.018484506802633405,0.028601825962047626
descriptive_only,Body,Body,0.024316406249999995,0.001502851963043213,0.0011212925116221109,lpips,-0.012131905555725098,50,0.68,-0.0010709236065546673,0.004069060087203978,0.006601144182276223
descriptive_only,Body,Body,0.06979484111070633,0.0048480130794147655,0.004616678257783252,person_dino,-0.09197146395842236,50,0.58,-0.009022432068983715,0.02276724378267924,0.02787606007287233
descriptive_only,Body,Body,0.015545815229415894,0.0016656464934349058,0.0005049119393030801,person_lpips,-0.0073793192704518645,50,0.62,-0.0011779107153415682,0.003367658704519272,0.004908276908657311
descriptive_only,Body,Body,0.030499590281864258,0.003535018657709119,0.003637024894615648,person_region_consistency,-0.041120898617841725,50,0.66,-0.0021807025950487994,0.010217226040613005,0.014472045794797387
descriptive_only,Body,Body,0.06175720779693893,0.004890035778253304,0.0021087992798396464,pixel_corr,-0.06110895185417118,50,0.62,-0.0030053181865286093,0.010408455273849168,0.019175310951727764
descriptive_only,Body,Body,0.03596770538317579,0.0006257816710908494,0.0005209477162037551,ssim,-0.03919778973667733,50,0.58,-0.0010052544983018988,0.003943933815406545,0.010122558719568681
descriptive_only,Body,Body+Scene,0.1444008429845174,0.006438123285770417,0.0004427462816238408,clip,-0.055375470717748,50,0.52,-0.009303555885950722,0.02001375158627828,0.03364937639797876
descriptive_only,Body,Body+Scene,0.2826325198014577,0.017461451958088823,0.007920492223153512,dino,-0.10298256327708562,50,0.6,-0.012430124349581696,0.03936652454237143,0.05538492449120089
descriptive_only,Body,Body+Scene,0.04780396620432536,0.001815299908320109,0.0005812545617421467,lpips,-0.03269346157709758,50,0.54,-0.004781882961591085,0.008611899614334105,0.014427259324530626
descriptive_only,Body,Body+Scene,0.10715761582056682,0.009948339487425984,0.009648465613524119,person_dino,-0.10961683988571165,50,0.66,-0.013464306419094404,0.03376887440681457,0.03983719183684519
descriptive_only,Body,Body+Scene,0.017338711023330688,-8.672231435775734e-05,0.0004777198036511741,person_lpips,-0.01753516395886739,50,0.54,-0.0049778955678145085,0.003506884972254436,0.007150750222087198
descriptive_only,Body,Body+Scene,0.0977293167501848,0.005133716015642358,0.0011637356050720718,person_region_consistency,-0.08083095218141013,50,0.52,-0.008644418381283187,0.018353616983339382,0.0284755796911078
descriptive_only,Body,Body+Scene,0.14990066321872297,0.010373410766866266,0.004865915625516021,pixel_corr,-0.036222813496218934,50,0.62,-0.0036318906993861597,0.021191129605487885,0.02694671649593007
descriptive_only,Body,Body+Scene,0.05812225445601441,0.003071985473671456,0.0016987886721711208,ssim,-0.03646829574052044,50,0.58,-0.0043228922871789265,0.007830097744853314,0.013593358382933136
